nconst,primaryname,birthyear,deathyear,primaryprofession,knownfortitles
nm0004166,Adam Hackbarth,1973,\N,"miscellaneous,actor,writer","tt0489024,tt0349612,tt0427688,tt0462485"
nm0004209,E.B. Hughes,\N,\N,"director,writer,producer","tt8064374,tt6745550,tt1476425"
nm0004217,André Øvredal,\N,\N,"director,writer,producer","tt1740707,tt3289956,tt5715066,tt4583446"
nm0004335,Hrithik Roshan,1974,\N,"actor,assistant_director,music_department","tt1562872,tt0449994,tt0254481,tt5460276"
nm0004379,Pierpaolo Tiano,\N,\N,"composer,actor,music_department","tt1319736,tt1235543,tt0234137,tt1301309"
nm0004394,Mark Kadlec,\N,\N,"actor,miscellaneous,assistant_director","tt0207100,tt0197072,tt0256856,tt0186454"
nm0004410,Mark Neveldine,\N,\N,"director,actor,writer","tt1034032,tt0964539,tt1121931,tt0479884"
nm0004414,Paul Barge,1890,1960,actor,"tt0051624,tt0031818,tt0043386,tt0050655"
nm0004484,Johannes Weuthen,\N,\N,"editor,editorial_department,sound_department","tt0295224,tt0245891,tt0130827,tt0362993"
nm0004523,Aiden Shaw,1966,\N,actor,"tt0455681,tt1019887,tt0189805,tt0345349"
nm0004566,Rhoda Kaindl,1967,\N,actress,"tt0240286,tt0103434,tt1008628,tt0806901"
nm0004660,Rajkumar,1928,2006,"actor,music_department,soundtrack","tt1401730,tt0245694,tt0233270,tt1360153"
nm0004668,Kevin Cooney,1945,\N,actor,"tt0118798,tt0250494,tt0145660,tt0295178"
nm0004694,Christina Aguilera,1980,\N,"music_artist,soundtrack,actress","tt0203009,tt4877122,tt1839337,tt1126591"
nm0004727,Kylie Bax,1975,\N,actress,"tt0179477,tt0204175,tt0199650,tt0192071"
nm0004763,Mary J. Blige,1971,\N,"music_artist,soundtrack,actress","tt2396589,tt1336608,tt1454029,tt0929632"
nm0004890,Fred Durst,1970,\N,"soundtrack,actor,director","tt7869070,tt0462482,tt0433035,tt0146675"
nm0004946,Randy Gardner,1957,\N,"actor,miscellaneous,writer","tt0206184,tt1230433,tt0098749,tt0078622"
nm0004953,Steve Garvey,1948,\N,actor,"tt0096542,tt0115101,tt0085055,tt0113376"
nm0005050,Justin Jeffre,1973,\N,"actor,soundtrack",tt0184907
nm0005108,Ilia Kulik,1977,\N,actor,"tt0210616,tt0312080,tt0453477,tt0242683"
nm0005111,Michelle Kwan,1980,\N,"actress,producer,miscellaneous","tt0228769,tt1411276,tt0115341,tt9286908"
nm0005114,Nick Lachey,1973,\N,"music_artist,actor,producer","tt0374536,tt0158552,tt0380934,tt1401687"
nm0005126,Matt Lauer,1957,\N,actor,"tt1608290,tt0457400,tt1321860,tt1674771"
nm0005225,Jo Dee Messina,1970,\N,"soundtrack,actress","tt0132245,tt0264150,tt0413099,tt0108968"
nm0005232,Izabella Miko,1981,\N,"actress,soundtrack,producer","tt0348914,tt0200550,tt5638056,tt0800320"
nm0005252,Catherine Moss,\N,\N,actress,tt0244718
nm0005256,Bridget Moynahan,1971,\N,"actress,director,producer","tt0164184,tt0343818,tt0399295,tt1217613"
nm0005332,Ingo Rademacher,1971,\N,actor,"tt0243732,tt1712170,tt1600194,tt0056758"
nm0005527,Sofía Vergara,1972,\N,"actress,producer,soundtrack","tt2883512,tt2967224,tt1442437,tt0472181"
nm0005535,Estella Warren,1978,\N,actress,"tt0132245,tt0257568,tt0133152,tt1410295"
nm0005566,Steve Winwood,1948,\N,"music_artist,soundtrack,actor","tt0377062,tt0118747,tt4154796,tt2250912"
nm0005585,Matteo Pedani,1966,\N,"director,sound_department,writer","tt0255893,tt0256273,tt0256286,tt0245347"
nm0005596,Jonathan Bourne,\N,\N,"producer,writer,miscellaneous","tt2621006,tt1402219,tt7674544,tt0118515"
nm0005599,Jérémie Elkaïm,1978,\N,"actor,writer,soundtrack","tt0242795,tt2059244,tt1931470,tt4428800"
nm0005608,Robert Sidney Mellette,1962,\N,"miscellaneous,producer,actor","tt0144528,tt0318155,tt0300532,tt0230350"
nm0005612,Jeremy Stein,1968,\N,"producer,miscellaneous,director","tt2106361,tt0293429,tt0360486,tt0240802"
nm0006470,Stephen Treadway,\N,\N,"cinematographer,camera_department,assistant_director","tt2987980,tt0115678,tt0119099,tt0133122"
nm0006473,Daniella Evangelista,1982,\N,"actress,casting_director,producer","tt0268579,tt0272379,tt3413236,tt2529866"
nm0006507,Bruce Marchfelder,\N,\N,"producer,director,cinematographer","tt0239242,tt0385584,tt0991287,tt6754628"
nm0006611,Philipp Clarin,1975,\N,"director,assistant_director,writer","tt0243119,tt0243225,tt0458404,tt2872306"
nm0006618,Torben Liebrecht,1977,\N,"actor,assistant_director,director","tt2261227,tt5208252,tt5013980,tt4338336"
nm0006663,Enrique Murciano,1973,\N,"actor,producer","tt0120179,tt0385307,tt0321021,tt0265086"
nm0006717,Jochen Kunstler,1968,\N,"editor,editorial_department,assistant_director","tt1905007,tt1269734,tt1588334,tt3177316"
nm0006770,Narayana P.L.,\N,\N,actor,"tt0491772,tt0245917,tt0248051,tt0245830"
nm0006902,Richard D'Ovidio,\N,\N,"writer,producer,actor","tt0245674,tt1911644,tt2376218,tt5592230"
nm0006924,Federico Marsicano,1971,\N,"assistant_director,casting_director,director","tt11349144,tt0818592,tt0322693,tt25387908"
nm0006925,Veronika Horka,1976,\N,"miscellaneous,producer,production_manager","tt0355295,tt0419706,tt0367959,tt0183790"
nm0006949,David Abramson,\N,\N,"editor,editorial_department,director","tt11875316,tt7369974,tt4145054,tt5615700"
nm0007081,Jon Shapiro,\N,\N,"producer,miscellaneous","tt0110989,tt1702427,tt0449545,tt0094812"
nm0007195,William Perkins,\N,\N,"production_manager,producer,camera_department","tt6053438,tt7026270"
nm0007279,Isabelle A,1975,\N,music_department,"tt1677200,tt14174540,tt0239196,tt0149534"
nm0007292,Dominique A.,1968,\N,"composer,writer,actor","tt0296698,tt0347474,tt0235214,tt1363487"
nm0007463,Jane Aaron,1948,2015,"animation_department,director","tt0242248,tt9290306,tt0299132"
nm0007545,Aasia,\N,\N,"actress,producer,soundtrack","tt11274096,tt11374832,tt11543240,tt11220112"
nm0007978,Hal Abbott,\N,\N,"actor,soundtrack",tt0232963
nm0007980,Honey Abbott,\N,\N,"actress,soundtrack",tt0232963
nm0008012,Luke Abbott,\N,\N,"director,writer,actor","tt0228414,tt0265469,tt0244865,tt0303279"
nm0008320,Khabibullo Abdurazakov,1937,2021,actor,"tt5335202,tt0170778,tt1212096,tt5356016"
nm0008421,Steve Abee,\N,\N,actor,"tt6297830,tt0236471"
nm0008422,Nick Abeel,1987,\N,"actor,director,cinematographer","tt4374600,tt3907462,tt10314344,tt4049960"
nm0008429,Myriam Abeillon,\N,\N,"actress,production_manager","tt0232293,tt1679579"
nm0008505,François Abelanet,\N,\N,production_designer,"tt2027265,tt0234041,tt0168740,tt0365190"
nm0008546,Daniel Abella,\N,\N,actor,tt0242750
nm0008570,Jorge Enrique Abello,1968,\N,"actor,writer","tt0233127,tt1543294,tt0224945,tt0932774"
nm0008613,Andrés Aberasturi,1948,\N,"director,actor,writer","tt0098794,tt0243842,tt0163055,tt0454047"
nm0008650,Don Abernathy,\N,\N,"sound_department,actor,camera_department","tt3422998,tt4372768,tt2528814,tt2490326"
nm0008765,Nicole Abisinio,\N,\N,"producer,actress,miscellaneous","tt14795396,tt1922748,tt6338856,tt2119532"
nm0008814,Sean Abley,\N,\N,"producer,writer,actor","tt4760268,tt28494027,tt0169247,tt0822856"
nm0008926,Brad Abraham,\N,\N,"writer,assistant_director,producer","tt17540088,tt2396495,tt0220008,tt0119370"
nm0008998,Chris Abrahams,\N,\N,"composer,soundtrack,actor","tt0452692,tt0384279,tt0914846,tt1308052"
nm0009177,Eric Abrams,\N,\N,"writer,producer","tt0322660,tt0155426,tt0231402,tt0235904"
nm0009338,Estela Abreu,\N,\N,actress,"tt0213102,tt0230008,tt0282204"
nm0009613,Nilsen Accioli,\N,\N,"assistant_director,actor,miscellaneous","tt5127750,tt0089087,tt9221962,tt8933992"
nm0009741,José de Jesús Aceves,1916,1962,"writer,miscellaneous","tt0234522,tt0042804"
nm0009892,Achyuth,\N,\N,actor,"tt0240084,tt0366840,tt1183907,tt1583218"
nm0010007,Raymond Ackerman,\N,\N,"cinematographer,director","tt0246629,tt0291199,tt0341363,tt0254716"
nm0010207,Juana Acosta,1976,\N,actress,"tt3673036,tt1321865,tt6101820,tt0297174"
nm0010214,Leonardo Acosta,\N,\N,actor,"tt10367818,tt3275706,tt8861834,tt21977358"
nm0010519,Camil Adam,\N,\N,"director,editor,sound_department","tt0078165,tt0244403,tt0168057"
nm0010612,Samuel Adamcík,1904,1984,actor,"tt0083162,tt0052263,tt0243501,tt0246893"
nm0010624,Ondrej Adamek,1979,\N,"actor,composer","tt5879998,tt0237619"
nm0010668,Jolanda Adamo,\N,\N,"editorial_department,editor","tt0074243,tt0062785,tt0199301,tt0071166"
nm0010785,Brian Adams,\N,\N,"actor,visual_effects","tt0088630,tt0082201,tt0086189,tt0129685"
nm0010911,Diane C. Adams,\N,\N,"producer,writer,casting_director","tt0228597,tt0230212,tt0267896,tt3821912"
nm0011127,Khaliah Adams,\N,\N,actress,"tt0235917,tt13248694,tt0235947,tt0489606"
nm0011134,Kristin Adams,1982,\N,"actress,soundtrack","tt0373450,tt0944849,tt0461071,tt0365183"
nm0011208,Melanie Adams,1965,\N,editor,"tt0112564,tt0104022,tt0236859,tt1527656"
nm0011309,Rob Adams,1970,\N,"actor,executive","tt0230212,tt2105022,tt8106534,tt0109830"
nm0011386,Tacey Adams,\N,\N,actress,"tt11379026,tt5555260,tt6111130,tt10329042"
nm0011471,Anna Adamson,\N,\N,"make_up_department,producer","tt1486823,tt0244984"
nm0011504,Larina Jean Adamson,1956,\N,"producer,miscellaneous,actress","tt0111877,tt0096697,tt0116695,tt0096874"
nm0011509,Mark Adamson,\N,\N,"director,miscellaneous,actor","tt0284702,tt1626459,tt7239256,tt0287196"
nm0011531,Tisa Adamson,\N,\N,composer,tt0235800
nm0011628,James Addams,\N,\N,,"tt0239638,tt0820081"
nm0011762,Obaka Adedunyo,\N,2022,"actor,producer","tt20869378,tt1684567,tt0092641,tt0082817"
nm0011774,Bruce Adel,\N,\N,actor,"tt0116503,tt8788902,tt7033820,tt0233014"
nm0011805,Gérard Adeline,\N,\N,"assistant_director,production_manager,producer","tt0168422,tt0192458,tt1362535,tt0241326"
nm0011963,Anissa Adgharouamane,\N,\N,actress,tt0243484
nm0011977,Adel Adeeb,\N,\N,"director,producer,actor","tt16469296,tt1243374,tt10294074,tt0233905"
nm0012042,Burt Adkins,1926,2005,actor,"tt5531570,tt0225676,tt0234920,tt0067360"
nm0012056,Gabrielle Adkins,\N,\N,"actress,camera_department,editor","tt0118406,tt5226698,tt0115417"
nm0012073,Mark Adkins,1968,\N,,tt0278769
nm0012126,Cisco Adler,1978,\N,"soundtrack,actor,producer","tt0942385,tt1144884,tt1723121,tt1234719"
nm0012379,Gina Adorabella,1972,\N,actress,"tt1690489,tt0291106,tt0786964,tt0265091"
nm0012413,Guillaume Adrey,\N,\N,"cinematographer,camera_department","tt23943036,tt0231514,tt0284015,tt0400626"
nm0012491,Valeria Adriazola,\N,\N,actress,tt0244860
nm0012531,Trish Adudu,1959,\N,"producer,actress","tt2150517,tt13888728,tt8094320,tt0165027"
nm0012551,Inogam Adylov,1943,2002,actor,"tt0386703,tt0170416,tt14046172,tt0237489"
nm0012611,Arianne Aernoutse,\N,\N,"producer,miscellaneous","tt0235645,tt0112799"
nm0012615,Lulu Aertgeerts,1963,\N,actress,"tt0116184,tt0379685,tt0149546,tt0306413"
nm0012649,Anatoli Afanasyev,\N,\N,writer,"tt13615262,tt0230515"
nm0012667,Nina Afentaki,\N,\N,actress,"tt0252892,tt0264858,tt0231103"
nm0012780,Anton Aftenie,\N,\N,actor,"tt0131456,tt0235210,tt0163623,tt0089209"
nm0012892,Ahathian,\N,\N,"writer,director,actor","tt0984202,tt0292552,tt8238236,tt0244794"
nm0012896,Anna Agatka,\N,\N,,tt0241059
nm0012922,Gladys Agboliagbo,\N,\N,actress,tt0229234
nm0012923,Olivia Agboliagbo,\N,\N,actress,tt0229234
nm0012962,Keiko Agena,1973,\N,"actress,soundtrack,costume_department","tt3032476,tt8416494,tt0238784,tt10327354"
nm0012963,Larry Agenbroad,1933,2014,,"tt0131678,tt0239867,tt27291349,tt0286285"
nm0012996,I. Ageychenkov,\N,\N,actor,tt0229743
nm0013010,Panos Angelopoulos,\N,\N,"director,writer,producer","tt0359229,tt0965427,tt0288675,tt1185011"
nm0013020,Graham Aggrey,\N,\N,actor,"tt0108729,tt0105977,tt0298685,tt0115096"
nm0013081,D.C. Agle,\N,\N,"producer,writer","tt0229980,tt13932270"
nm0013102,Henri Agnel,\N,\N,composer,"tt0234641,tt0179338"
nm0013214,Helder Agostini,1990,\N,actor,"tt0457052,tt0087305,tt1124062,tt1321713"
nm0013430,Leônidas Aguiar,\N,\N,actor,"tt0289033,tt0229154,tt0149517,tt0206497"
nm0013467,Carlos Marcos Aguilar 'Polín',\N,\N,actor,"tt0380022,tt0180146,tt0245695,tt0264903"
nm0013641,Sergio Aguilera,\N,\N,actor,"tt0257666,tt1409912,tt0166803,tt0115166"
nm0013683,Carmen Aguirre,\N,\N,"actress,miscellaneous,producer","tt1797629,tt5861756,tt0270980,tt0218839"
nm0013691,Emma Aguirre,1945,\N,"actress,writer,make_up_department","tt0297174,tt0255328,tt5376598,tt0302447"
nm0013786,Yevgeniy Agurov,1898,1986,actor,"tt0240058,tt0153576,tt0053177,tt1726830"
nm0013808,Leonid Agutin,1968,\N,"soundtrack,actor,composer","tt9110376,tt0242905,tt0261197,tt6677872"
nm0013811,Zhanna Aguzarova,1962,\N,"soundtrack,actress,music_department","tt0420982,tt14274272,tt0871869,tt1239426"
nm0013815,Yuldash Agzamov,1909,1985,"director,actor,assistant_director","tt0363820,tt0237800,tt0261151,tt2259092"
nm0013826,Luis Eduardo Agüero,\N,\N,"director,assistant_director,producer","tt0250246,tt0232196,tt0250435,tt4755452"
nm0013841,Pegah Ahangarani,1984,\N,"actress,director,writer","tt3269074,tt1985266,tt15711194,tt0233798"
nm0013876,Peggy Ahern,1917,2012,actress,"tt0015378,tt0016480,tt0234367,tt0016168"
nm0013928,Valerie Ahern,\N,\N,"producer,writer,miscellaneous","tt0244364,tt0410975,tt1865769,tt4591680"
nm0014050,Kerstin Ahlrichs,1966,\N,"director,assistant_director,camera_department","tt3660078,tt0234024,tt0898369,tt6914756"
nm0014098,Kamal Ahmad,1937,1997,"composer,soundtrack,music_department","tt1132132,tt11291538,tt0252261,tt14398984"
nm0014102,Nordin Ahmad,\N,\N,actor,"tt0261513,tt22498526,tt0279849,tt0261788"
nm0014165,Nabi Ahmed,\N,2010,cinematographer,"tt0233948,tt0317116,tt9308340,tt0374897"
nm0014222,So-Im Ahn,\N,\N,writer,tt0231686
nm0014261,Jouko Ahola,1970,\N,actor,"tt0780645,tt2306299,tt1388402,tt0320661"
nm0014369,Falko Ahsendorf,1943,\N,cinematographer,"tt0295620,tt0092389,tt0386213,tt0303489"
nm0014371,Benaissa Ahssin,\N,\N,actor,"tt0275835,tt0236040,tt0268078"
nm0014454,Suzanne Aichinger,\N,\N,actress,tt0240121
nm0014534,Andreas Aigner,\N,\N,"editor,miscellaneous","tt0479846,tt0102028,tt0239117,tt0246954"
nm0014627,Michel Aim,\N,\N,composer,tt0231514
nm0014631,Brahim Aimad,\N,\N,actor,"tt0352376,tt3984054,tt0245062"
nm0014787,Patrícia Aires,1963,\N,actress,"tt0209602,tt0209690,tt0209778,tt0234447"
nm0014881,Madeline Aitken,\N,\N,actress,tt0229739
nm0014934,Kazushige Aizawa,1969,\N,actor,tt0239541
nm0014987,Jhano Ajemian,\N,\N,producer,"tt0279688,tt0231496"
nm0015001,Ajith Kumar,1971,\N,"actor,music_department,soundtrack","tt0920457,tt0417241,tt0442781,tt1705772"
nm0015138,Abdolreza Akbari,\N,\N,"actor,director,editor","tt7461116,tt0379159,tt1388418,tt0826089"
nm0015483,Ogonozar Aknazarov,\N,\N,,tt0243500
nm0015508,Amayak Akopyan,\N,\N,actor,"tt0241259,tt0173432,tt0231565,tt0110476"
nm0015523,Mukharbek Akov,\N,\N,actor,"tt0275453,tt0313421,tt0239815,tt13578456"
nm0015626,Turkan Akyol,1928,2017,,tt0238912
nm0015695,Zouheir Al-Daya,\N,\N,editor,"tt22941076,tt0234078,tt0372794"
nm0015705,Iman Al-Ghouri,\N,\N,actor,"tt19721180,tt0234078"
nm0015784,Züli Aladag,1968,\N,"director,writer,actor","tt0233906,tt0478114,tt7664388,tt0308214"
nm0015865,Zak Santiago,\N,\N,"actor,producer,stunts","tt0970416,tt0352113,tt2027231,tt0439410"
nm0015898,Alan,1973,\N,"actor,soundtrack","tt0229288,tt1488200,tt0389597,tt0380152"
nm0015904,Bradley James Allan,1973,2021,"stunts,actor,assistant_director","tt0451279,tt9376612,tt0266915,tt2802144"
nm0016060,Guillermo Jaime Alarid,\N,\N,"producer,actor,director","tt0772693,tt0220306,tt0772710,tt0386699"
nm0016096,Ishak Alaton,\N,\N,,"tt5651302,tt0238912"
nm0016134,Aleksandre Alaznispireli,\N,\N,actor,"tt0274634,tt0048324,tt0233999,tt0274930"
nm0016269,Giovanni Albanese,\N,\N,"director,actor,writer","tt0228354,tt0264330,tt0117367,tt1669687"
nm0016291,Marcello Albani,1905,1980,"writer,director,art_director","tt0214232,tt0035246,tt0033538,tt0032266"
nm0016316,Atom Albany,\N,\N,"actor,stunts","tt0238225,tt2321393"
nm0016358,Stan Albeck,\N,\N,,tt0236867
nm0016392,Robert Alberdingk Thijm,1965,\N,"writer,producer,script_department","tt0288403,tt1438539,tt0219634,tt0483340"
nm0016444,Helge Albers,\N,\N,"producer,production_manager,miscellaneous","tt0794374,tt3249414,tt7322224,tt1695405"
nm0016724,Jose Alberto,1958,\N,actor,"tt1679141,tt3607036,tt0108876,tt0104802"
nm0016960,Maciek Albrecht,\N,\N,"animation_department,director,visual_effects","tt0424774,tt0239438,tt0331405,tt0354963"
nm0016980,Tom Albrecht,\N,\N,"actor,soundtrack","tt10702268,tt1390424,tt1473352,tt1939635"
nm0017070,Claudia Albuquerque,\N,\N,"actress,soundtrack","tt2303847,tt0186011,tt0236520"
nm0017080,Mickey Albuquerque,\N,\N,actor,tt0229301
nm0017181,Luis Alcaraz,\N,\N,"composer,actor,soundtrack","tt0372486,tt0104029,tt0371369,tt0284807"
nm0017382,Marco Aldaco,\N,\N,composer,tt0239715
nm0017402,Pedro Aldana,\N,\N,"actor,camera_department","tt11946266,tt0239715"
nm0017607,Merrill Aldighieri,\N,\N,"director,cinematographer,producer","tt0372802,tt0373165,tt0373140,tt0793588"
nm0017609,Orhan Aldikacti,1924,2006,,tt0238912
nm0017618,Yusuf Aldirmaz,\N,\N,"editor,editorial_department,composer","tt5324016,tt0183326,tt5843746,tt10642356"
nm0017879,Åge Aleksandersen,1949,\N,"music_department,soundtrack,composer","tt1278340,tt0271323,tt1252610,tt1007979"
nm0017902,Radij Aleksandrov,\N,\N,actor,tt0236927
nm0017946,Anatoliy Alekseev,1909,1988,actor,"tt0312732,tt0233314,tt0234255,tt12104418"
nm0017948,Andrey Alekseev,1958,2020,actor,"tt6226710,tt0084452,tt0237607,tt4119030"
nm0017978,A. Alekseyevich,\N,\N,actor,tt0237577
nm0017984,Goran Aleksic,\N,\N,"actor,editor","tt0230678,tt18328858,tt4994736,tt4088352"
nm0018022,Michael Alemania,\N,\N,"soundtrack,composer,music_department","tt0105063,tt0469519,tt0910934,tt2027231"
nm0018065,Paulo Alencar,\N,\N,actor,"tt0229154,tt0227904,tt0227965"
nm0018175,Kyle Aletter,1960,\N,actress,"tt0086712,tt0069557,tt0075529,tt0085404"
nm0018176,Lesley Aletter,1963,\N,"stunts,actress,miscellaneous","tt0177789,tt0395584,tt0118583,tt8134742"
nm0018178,Jean-Noël Aletti,\N,\N,,tt0232149
nm0018181,Christine Alevizakis,\N,\N,"producer,assistant_director,miscellaneous","tt0286338,tt0398602,tt0236307,tt0109705"
nm0018188,Alex,\N,\N,actor,"tt0224938,tt0229288,tt4449162,tt0158220"
nm0018226,Alexander Veith,\N,\N,actor,"tt0245603,tt0275160"
nm0018274,Ben Alexander,1978,\N,"actor,miscellaneous","tt0240572,tt0155975"
nm0018279,Bevin Alexander,1929,\N,,"tt0233071,tt0482401,tt1433823"
nm0018705,Rod Alexander,1920,1992,"miscellaneous,actor,soundtrack","tt0049002,tt0049055,tt0050013,tt0943395"
nm0018746,Sharon Alexander,\N,\N,"actress,stunts","tt0108903,tt0388650,tt0090479,tt0390296"
nm0018750,Sooren Alexander,\N,\N,composer,tt0235535
nm0018758,Stephen Alexander,\N,\N,actor,tt0230877
nm0018941,Dan Alexe,1961,\N,"sound_department,camera_department,director","tt0240338,tt0110706,tt0970925,tt0387575"
nm0019147,Joe Alfonsie,\N,\N,,tt0236785
nm0019176,Marcial Afonso Fraga,\N,\N,"camera_department,cinematographer,special_effects","tt0191314,tt0189602,tt0178657,tt0257907"
nm0019314,Russell Alexander Alger,1836,1907,,"tt0239423,tt0229662"
nm0019417,Fatima Bint Ali,\N,\N,actress,tt0228441
nm0019482,Sadiq Ali,\N,1972,actor,"tt11954560,tt0031829,tt6710822,tt0243505"
nm0019543,Bari Alibasov,1947,\N,"actor,composer,producer","tt0416227,tt0415058,tt0242905,tt2756552"
nm0019554,Viviana Aliberti,\N,\N,actress,"tt0234041,tt0806910,tt7633516,tt0316315"
nm0019576,Alicia,\N,\N,actress,"tt3072868,tt0299562,tt0234361,tt0236941"
nm0019593,Fikret Aliev,1939,2016,"director,writer,actor","tt21834770,tt0230999,tt1726757,tt1204186"
nm0019676,Hadi Alipour,\N,\N,actor,tt0243218
nm0019677,Majid Alipour,\N,\N,actor,tt0243218
nm0019722,Alix,1971,\N,actress,"tt1831897,tt8929306,tt0214365,tt2186753"
nm0019797,Nukri Alkhazishvili,\N,\N,actor,"tt0234394,tt0268498"
