nconst,primaryname,birthyear,deathyear,primaryprofession,knownfortitles
nm0001540,Rachel Miner,1980,\N,"actress,producer","tt1234541,tt0387877,tt0242193,tt0044265"
nm0002689,Dana MacDuff,1955,\N,"art_department,producer,assistant_director","tt0936501,tt1650426,tt1397280,tt10187110"
nm0003009,Keith Clark,\N,\N,"producer,editorial_department,editor","tt13540650,tt15677070,tt5867314,tt12198950"
nm0003163,Tucker Gates,\N,\N,"director,producer,miscellaneous","tt0285333,tt1075747,tt1137462,tt1796960"
nm0003191,Danny Rafic,\N,\N,"editor,editorial_department,visual_effects","tt3014866,tt0120667,tt1046173,tt1843866"
nm0003233,Jaymes Hinkle,1953,\N,"production_designer,art_department,art_director","tt0095016,tt0120458,tt0093409,tt0090305"
nm0003361,Beer Boneschansker,\N,\N,"director,writer,assistant_director","tt0228464,tt0148970,tt0125874,tt0228589"
nm0003442,Matthias Grunsky,1971,\N,"cinematographer,camera_department,director","tt2007360,tt5936578,tt0112471,tt11678452"
nm0003456,Derek Vaughn,\N,\N,"editor,editorial_department,writer","tt0245341,tt0155425,tt2283358,tt0318374"
nm0003462,George Blumetti,\N,\N,"director,writer,producer","tt0929241,tt0233900,tt2771990,tt1398918"
nm0003465,Cristian Olcina,1977,\N,"producer,writer,editor","tt0233992,tt0231194,tt0233506,tt0235371"
nm0003472,Todd Hooker,\N,\N,"editor,editorial_department,miscellaneous","tt0115727,tt0320713,tt0353248,tt0228977"
nm0003509,Daniela Akerblom,1975,\N,"actress,miscellaneous,assistant_director","tt0118346,tt16030542,tt0101092,tt6097798"
nm0003561,Mick Erausquin,\N,\N,"editorial_department,editor,producer","tt0196857,tt0167150,tt0233407,tt0179477"
nm0003567,Martin Carr,\N,\N,"producer,actor,production_manager","tt3922704,tt1833885,tt0856778,tt0234321"
nm0003580,Paul Inglis,\N,\N,"art_director,art_department,production_designer","tt1074638,tt0206634,tt0830515,tt1856101"
nm0003591,Robert Sonntag,1949,\N,"assistant_director,miscellaneous,writer","tt0112729,tt0078704,tt0046593,tt0059991"
nm0003622,William F. Conrad,\N,\N,"actor,writer",tt0236124
nm0003648,Paul Kermizian,1974,\N,"production_manager,director,producer","tt0372140,tt0235252,tt0300776,tt0406604"
nm0003691,Matt Absher,\N,\N,"editorial_department,editor,camera_department","tt9376612,tt10954984,tt5463162,tt8629748"
nm0003698,Shirley Lixenberg,\N,\N,"set_decorator,art_department,director","tt1037218,tt0293929,tt0239484,tt0243155"
nm0003713,Marc Pilvinsky,\N,\N,"editorial_department,editor,producer","tt1377663,tt0401687,tt0101921,tt0285217"
nm0003737,Jim Brooks,1977,\N,"actor,writer","tt0237995,tt0238122,tt0423296,tt0187665"
nm0003750,Steve Herold,1968,\N,"miscellaneous,editorial_department,director","tt7270922,tt10403250,tt28621233,tt0321550"
nm0003751,Marichelle Daywalt,\N,\N,"producer,director,art_director","tt0286152,tt1693752,tt2041511,tt0233849"
nm0003753,Peter Kambasis,\N,\N,"sound_department,director,writer","tt0237344,tt0298744,tt0366545,tt0414694"
nm0003758,Gustavo Lipsztein,\N,\N,"writer,producer,director","tt16427924,tt10520386,tt8972568,tt5822138"
nm0003762,Alexandre Michaud,\N,\N,"producer,director,writer","tt0235847,tt0388091,tt0844289,tt0267253"
nm0003776,Trey Stokes,\N,\N,"visual_effects,director,editor","tt0114508,tt0120201,tt0358640,tt0096754"
nm0003779,Alessandra Torresani,1987,\N,"actress,producer","tt0898266,tt8712204,tt4052886,tt1844624"
nm0003782,Jeff Winner,1971,\N,"director,editor,producer","tt6351056,tt0408162,tt0238743,tt0171359"
nm0003786,Marc Singer,\N,\N,"director,cinematographer,producer","tt1991264,tt0235327,tt0343329"
nm0003787,Bil Yoelin,\N,\N,"editor,writer,camera_department","tt1992224,tt0828164,tt0234854,tt5665418"
nm0003795,Kristina Trirogoff,\N,\N,"editor,editorial_department,director","tt0369339,tt1723125,tt0113277,tt0183649"
nm0003809,Ari Bass,1967,\N,"producer,music_department,miscellaneous","tt0113816,tt0260555,tt0238410,tt0118076"
nm0003852,Ernst Kaufmann,1954,\N,"director,writer,cinematographer","tt0109076,tt0297952,tt9359696,tt0107352"
nm0003877,Dan Brown,1970,\N,"producer,director,writer","tt0238834,tt0497306,tt0993777,tt4081504"
nm0003881,Steve Hughes,\N,\N,"editorial_department,director,editor","tt0436992,tt1888075,tt8270592,tt7573024"
nm0003894,Brian Young,\N,\N,"director,writer,producer",tt3359394
nm0003918,Leonor Areal,\N,\N,"director,editor,writer","tt0240535,tt4629438,tt6889708,tt1548972"
nm0003935,Ken DuPuis,\N,\N,"producer,director","tt0260211,tt0315911,tt0236342"
nm0003940,Craig H. Shepherd,1967,\N,"miscellaneous,producer,director","tt0221728,tt7370898,tt10925122,tt3872824"
nm0003997,Derrick Peters,\N,\N,"camera_department,cinematographer,director","tt3778644,tt12361974,tt0439572,tt6654210"
nm0004024,Simon Mills,\N,\N,"producer,production_manager,assistant_director","tt0103129,tt6212478,tt0490879,tt11318602"
nm0004033,Diego Quemada-Diez,\N,\N,"camera_department,cinematographer,writer","tt2042583,tt0387131,tt0816201,tt0310197"
nm0004034,Elizabeth Holder,\N,\N,"producer,director,miscellaneous","tt0243022,tt0358079,tt1614992,tt0163929"
nm0004078,Péter Politzer,1974,\N,"director,editor,writer","tt10415684,tt6605846,tt0464955,tt0397857"
nm0004103,Michael Derbas,\N,\N,"producer,camera_department,actor","tt0385961,tt0263746,tt0233656,tt0402910"
nm0004150,Jeremy Benning,1974,\N,"cinematographer,camera_department,producer","tt1680305,tt2299248,tt1934472,tt3230854"
nm0004164,Bob Brooks,\N,\N,"editor,editorial_department,camera_department","tt0127398,tt0116026,tt0115237,tt0117481"
