nconst,primaryname,birthyear,deathyear,primaryprofession,knownfortitles
nm0000764,André René Roussimoff,1946,1993,actor,"tt0071054,tt0093779,tt0087718,tt0250824"
nm0001925,Johann Sebastian Bach,1685,1750,"soundtrack,music_department,composer","tt1706620,tt0181689,tt0399201,tt1318514"
nm0002339,Allen Coulter,\N,\N,"director,producer,assistant_director","tt0141842,tt1403981,tt0914387,tt0427969"
nm0002521,Markus Ziegler,1963,\N,"camera_department,cinematographer","tt0379713,tt0257256,tt0099511,tt0806910"
nm0002803,Michael Klastorin,1957,\N,"miscellaneous,actor,writer","tt0253754,tt0117318,tt0102070,tt0099088"
nm0002970,Ray Melendez,1976,\N,"miscellaneous,camera_department,actor","tt0295498,tt0248760,tt0212346,tt1709165"
nm0003216,Oana Bogdan Miller,\N,\N,"art_director,art_department,production_designer","tt1386703,tt0343818,tt0116629,tt0259711"
nm0003365,Marc Pitre,\N,\N,"producer,miscellaneous,sound_department","tt0329774,tt0859163,tt0228856,tt0382992"
nm0003541,Gilles-Marie Tiné,\N,\N,"producer,writer","tt0130179,tt1077083,tt0343513,tt0404794"
nm0003646,Samu Heikkilä,1971,\N,"editor,editorial_department,sound_department","tt0231971,tt0388318,tt3678192,tt8562100"
nm0004059,Yvon Sarray,1917,1990,actor,"tt0272389,tt0197199,tt1063369,tt0852611"
nm0004157,TyRuben Ellingson,\N,\N,"art_department,visual_effects,animation_department","tt0499549,tt0286106,tt0107290,tt1663662"
nm0004232,Erik Svane,\N,\N,actor,"tt0137546,tt0180837,tt0161203,tt0331770"
nm0004328,Lawrence R. Leritz,1962,\N,"actor,miscellaneous,producer","tt7620960,tt6735740,tt1385826"
nm0004371,Robert David Hall,1947,\N,"actor,soundtrack,miscellaneous","tt0120201,tt0120768,tt0247082,tt0118437"
nm0004425,Beau Holden,1960,\N,"transportation_department,miscellaneous,actor","tt0146838,tt0232500,tt0319262,tt6966692"
nm0004471,Subhalekha Sudhakar,1960,\N,"actor,miscellaneous","tt6485666,tt0264415,tt7838252,tt6836936"
nm0004473,Potti Prasad,1929,1998,actor,"tt0086231,tt0155492,tt0155855,tt0249561"
nm0004509,Patricia Chica,\N,\N,"director,miscellaneous,producer","tt4245368,tt3349540,tt13535874,tt5021594"
nm0004584,David Melito,\N,\N,"miscellaneous,art_department,producer","tt0465602,tt1981128,tt2649554,tt0806203"
nm0004622,Alfred F. Woodley,\N,\N,"actor,director,writer","tt0475394,tt27630806,tt3453064,tt0955353"
nm0004626,Kareena Kapoor,1980,\N,"actress,soundtrack,music_department","tt1093370,tt1187043,tt1562871,tt0488414"
nm0004636,Glenn S. Gainor,\N,\N,"production_manager,producer,actor","tt1632708,tt1621045,tt1135084,tt0822847"
nm0004665,Wolfgang Wesemann,\N,\N,"camera_department,cinematographer,art_department","tt4005402,tt0280609,tt0335119,tt0131646"
nm0004666,Learan Kahanov,\N,\N,"camera_department,cinematographer,producer","tt11128440,tt3501074,tt10732104,tt10327830"
nm0004667,Nikhil Kamkolkar,\N,\N,"director,cinematographer,writer","tt0254784,tt11356952,tt13807096,tt10926746"
nm0004705,Summer Altice,1979,\N,actress,"tt3276924,tt0396269,tt0277296,tt0463034"
nm0004783,Ryan Browning,1974,\N,actor,"tt0118276,tt0366709,tt0261992,tt0245891"
nm0004823,Scarlett Chorvat,1972,\N,actress,"tt0247096,tt0281865,tt0364725,tt0218864"
nm0005016,Alexandra Holden,1977,\N,actress,"tt0157503,tt2294677,tt0308152,tt0302640"
nm0005018,Evander Holyfield,1962,\N,"actor,producer","tt1661382,tt1334512,tt0099153,tt0162677"
nm0005058,Kirsten Johnson,\N,\N,"actress,director,producer","tt0109705,tt0156729,tt5535796,tt0120907"
