nconst,primaryname,birthyear,deathyear,primaryprofession,knownfortitles
nm0000251,Timothy Dowling,1973,\N,"actor,writer,script_department","tt1596350,tt2120120,tt0181852,tt0430922"
nm0002221,Mark V. Phillips,\N,\N,"editorial_department,visual_effects,sound_department","tt6565702,tt0329774,tt2548396,tt15326988"
nm0002261,Alexander Kiening,1973,\N,"producer,camera_department,production_manager","tt8629136,tt0133385,tt4670580,tt5314232"
nm0002322,Richard Burns,\N,\N,"actor,producer","tt0975645,tt0096134,tt0442933,tt0891527"
nm0002327,Brett Lewis,\N,\N,"actor,writer,assistant_director","tt0077597,tt0197753"
nm0002350,Jim Meskimen,\N,\N,"actor,animation_department,miscellaneous","tt1266020,tt0112384,tt0098800,tt0170016"
nm0002352,Raul daSilva,1933,\N,"director,writer,camera_department","tt0307463,tt0385613,tt0207703,tt0307686"
nm0002356,Gregory Avellone,\N,\N,"actor,director,producer","tt0103855,tt0119925,tt0093640,tt0114898"
nm0002384,Samuel Vartek,1969,\N,"editor,writer,sound_department","tt5628870,tt7374370,tt1137439,tt0206811"
nm0002385,Linda Moran,\N,\N,"producer,actress,miscellaneous","tt0242587,tt0407265,tt0808279,tt8110640"
nm0002394,Chris H. Ullrich,\N,\N,"producer,production_manager,miscellaneous","tt0120855,tt0114148,tt0116583,tt0119282"
nm0002402,Mark D. Allen,\N,\N,"visual_effects,producer,director","tt3956230,tt14602326,tt0937403,tt0280665"
nm0002406,Harry Jay Knowles,1971,\N,"producer,actor,writer","tt7171224,tt0306846,tt1707821,tt0133751"
nm0002430,Keith Ogier,\N,\N,"camera_department,cinematographer,miscellaneous","tt0405336,tt0171363,tt0278435,tt0300556"
nm0002434,Cam Cronin,1972,\N,actor,"tt0385961,tt0118480,tt0309593,tt0244627"
nm0002437,Michael Kevin Walker,\N,\N,"actor,writer,producer","tt1156394,tt0195582,tt0410626,tt0117894"
nm0002464,Karen F. McCarthy,\N,\N,"producer,writer,production_manager","tt0111418,tt0832525,tt0476988,tt0274023"
nm0002478,Ernst Gossner,\N,\N,"director,writer,actor","tt0208969,tt4474270,tt0478273,tt2014295"
nm0002505,Michael Horowitz,\N,\N,"producer,writer,director","tt4396630,tt0455275,tt0810788,tt0245503"
nm0002518,Ryan Koch,1981,\N,"actor,writer,producer","tt0209779,tt10551078,tt6047118,tt0058796"
nm0002520,Jeff Mazzola,\N,\N,"art_department,producer,actor","tt0139388,tt0278823,tt0887966,tt0486620"
nm0002522,Jonathan Buss,1972,\N,"producer,director,camera_department","tt13653972,tt0480244,tt3268200,tt3895884"
nm0002531,Pascal Maeder,1965,\N,"producer,director,writer","tt0200483,tt0210183,tt0344337,tt0481398"
nm0002532,Nick O'Hagan,\N,\N,"producer,miscellaneous,production_manager","tt14022350,tt0462335,tt5563334,tt2235759"
nm0002533,Judy Dennis,\N,\N,"casting_department,casting_director,director","tt0084707,tt0210220,tt0118421,tt0090350"
nm0002535,Jasper Randall,1974,\N,"music_department,composer,soundtrack","tt4073790,tt1877832,tt0437086,tt1318514"
nm0002549,Marcelo Itzkoff,\N,\N,producer,"tt0211353,tt0210809,tt0211311,tt0108291"
nm0002559,Peter De Kock,1967,\N,"camera_department,cinematographer,director","tt0177908,tt0101125,tt0102254,tt0210725"
nm0002560,Adam Nordén,1971,\N,"composer,music_department,soundtrack","tt0448267,tt5603140,tt2429292,tt0907683"
nm0002565,Laine Megaw,\N,\N,actress,"tt0986233,tt0127516,tt0122738,tt0388154"
nm0002570,Melissa Reneé Martin,1979,\N,actress,"tt0098790,tt0100419,tt0412253,tt0265787"
nm0002576,Walter Fasano,1970,\N,"editor,director,assistant_director","tt10686204,tt1034415,tt2056771,tt5726616"
nm0002592,David Fickas,\N,\N,"producer,director,editor","tt0810788,tt9046022,tt0925435"
nm0002601,Gary S. Lipsky,\N,\N,"producer,director,writer","tt0351234,tt0211323,tt0138474"
nm0002604,Robert Blanche,1962,2020,"actor,writer,producer","tt5891062,tt0469641,tt0259153,tt0203019"
nm0002634,Imogen Murphy,\N,\N,"director,writer,producer","tt7286848,tt5674872,tt4320944,tt10413648"
nm0002642,Warwick Young,1973,\N,"actor,writer,producer","tt1418646,tt0348150,tt3469750,tt2973554"
nm0002645,Paolo Genovese,1966,\N,"writer,director","tt1630637,tt4901306,tt7063210,tt0212426"
nm0002647,Barrie Hemsley,\N,\N,"visual_effects,writer,producer","tt0382625,tt0384766,tt3659388,tt0808151"
nm0002650,Dylan Pank,1971,\N,"sound_department,writer,director","tt1301163,tt0213537,tt1293596,tt0214644"
nm0002690,Danica DeCosto,1976,\N,"actress,director,producer","tt0375962,tt0313708,tt0306998,tt0201050"
nm0002692,Joshua Tunick,1977,\N,"director,producer,editor","tt0404248,tt4723724,tt0929771,tt0213223"
nm0002694,Leland L. Jones,1963,\N,actor,"tt1276434,tt0249478,tt4463894,tt0163676"
nm0002714,Christopher Fink,\N,\N,"miscellaneous,director,writer","tt1988654,tt0212360,tt0250133,tt17042812"
nm0002720,Andrew Lowes,1975,\N,"director,writer,sound_department","tt0309510,tt0213537,tt0262544,tt0208678"
nm0002722,Barry Potter,1978,\N,"director,writer,editor","tt2088800,tt0399282,tt0413324,tt0212908"
nm0002732,Taz Goldstein,\N,\N,"miscellaneous,producer,writer","tt0210633,tt1977038,tt4740684,tt2014351"
nm0002740,Ben Eberhard,1975,\N,"actor,producer","tt0138956,tt0115317,tt0112111,tt0207826"
nm0002744,Chris Baugh,\N,\N,"location_management,production_manager,director","tt2080374,tt1024648,tt6450804,tt0808151"
nm0002745,Rolf Coulanges,1945,\N,"cinematographer,director,editor","tt0180969,tt0180957,tt0180794,tt0181159"
