nconst,primaryname,birthyear,deathyear,primaryprofession,knownfortitles
nm0001964,Rob Bottin,1959,\N,"make_up_department,miscellaneous,special_effects","tt0084787,tt0114369,tt0100802,tt0093870"
nm0003197,Chris Gilmer,\N,\N,"miscellaneous,assistant_director,producer","tt0110074,tt0109686,tt0176269,tt0112818"
nm0003532,Douglas Law,\N,\N,"assistant_director,director,actor","tt0787255,tt0160644,tt0312813,tt0381361"
nm0003623,Scott Ford,\N,\N,actor,"tt1481573,tt0210742,tt0375176,tt0160652"
nm0003637,Kit Whitmore,1947,\N,"camera_department,cinematographer,sound_department","tt0377713,tt0988047,tt0242445,tt0144117"
nm0003675,Lee Cleary,\N,\N,"assistant_director,producer,composer","tt0120667,tt0376994,tt0120903,tt0887912"
nm0003681,Suzanne Colvin,\N,\N,"producer,production_manager,miscellaneous","tt3846642,tt0159097,tt6635810,tt8593252"
nm0003977,Gary Rydstrom,1959,\N,"sound_department,miscellaneous,director","tt0181689,tt0107290,tt2935510,tt0103064"
nm0004279,Liz Radley,\N,\N,"visual_effects,camera_department,miscellaneous","tt0115857,tt0111280,tt0119654,tt0117731"
nm0004424,Brian Gunter,\N,\N,"camera_department,cinematographer","tt0878804,tt0838232,tt0265349,tt0107978"
nm0004557,Matt Granger,\N,\N,"miscellaneous,actor,camera_department","tt0120903,tt0770828,tt3829266,tt0343818"
nm0004758,Asha Blake,1961,\N,actress,"tt0337551,tt1206246,tt0171925,tt0211818"
nm0004824,China Chow,1974,\N,"actress,producer","tt0192111,tt0384833,tt0283003,tt0120609"
nm0005357,Jerry Rice,1962,\N,"actor,producer","tt0484082,tt0790772,tt0102517,tt0772137"
nm0005533,Maitland Ward,1977,\N,"actress,writer,producer","tt0381707,tt11309414,tt0092325,tt14456714"
nm0006520,Jim Henry,\N,\N,"stunts,actor,assistant_director","tt1844624,tt0948470,tt0477348,tt0163651"
nm0006810,Judith Benezra,1976,\N,"producer,actress,director","tt0413099,tt0454084,tt0327643,tt0244471"
nm0007020,Russell Williams II,1952,\N,"sound_department,producer,actor","tt0120768,tt0139654,tt0097441,tt0099348"
nm0007184,Tony Barbieri,1963,\N,"writer,producer,actor","tt0268077,tt7235270,tt5850440,tt0320037"
nm0007205,Keith Collea,\N,\N,"camera_department,producer,visual_effects","tt0438052,tt0271367,tt0116629,tt1890453"
nm0007646,Frank Abagnale Jr.,1948,\N,"actor,writer,miscellaneous","tt0264464,tt1148756,tt0170980"
nm0007989,Jennifer Abbott,\N,\N,"director,editor,writer","tt3170674,tt0379225,tt12397050,tt12575636"
nm0008040,Peter Abbott,\N,\N,"producer,miscellaneous,production_manager","tt0271118,tt0144401,tt0086218,tt1251819"
nm0008390,Yoshitoshi Abe,1971,\N,"writer,animation_department,art_department","tt0299357,tt11296310,tt0500092,tt0380113"
nm0008445,Ervin Abel,1929,1984,actor,"tt0218653,tt0339544,tt0064542,tt0348332"
nm0008499,Alexander Abela,1965,\N,"writer,director,cinematographer","tt0276313,tt2974818,tt0376205,tt2077908"
nm0008690,Damitha Abeyratne,\N,\N,"actress,music_department","tt3117642,tt11412130,tt7687332,tt0381630"
nm0008886,Aboudja,\N,\N,"miscellaneous,camera_department","tt0174325,tt0248747,tt0120603,tt0389515"
nm0008923,Beate Abraham,1945,\N,actress,"tt0285209,tt0325734,tt0312358,tt0118281"
