tconst,directors,writers
tt0031866,nm0902006,"nm0082453,nm0134595,nm0458283,nm2638671"
tt0041150,nm0297054,"nm0051304,nm0297054"
tt0161157,"nm3844505,nm0906703","nm1065549,nm0452884,nm2745676"
tt0192558,nm0173017,"nm0894579,nm0124512"
tt0282201,nm0859315,"nm7873736,nm13116024,nm0859315"
tt0364068,nm1564776,nm1564776
tt0367223,nm0644352,nm0644352
tt0367232,nm0858686,nm0858686
tt0367235,nm0935880,nm1375622
tt0367236,nm0238128,"nm0334370,nm0390825"
tt0367240,nm1231010,nm0343706
tt0367242,nm0638324,nm1017132
tt0367243,\N,\N
tt0367245,nm0471461,"nm0111577,nm0258098,nm0223395"
tt0367246,nm1375969,nm1375969
tt0367247,nm1299690,"nm1299690,nm1376885"
tt0367248,nm1376067,"nm1374628,nm1375952,nm1376067"
tt0367251,nm0448588,nm0448588
tt0367252,nm1794148,"nm0156790,nm2279572,nm0376988,nm0465490,nm1599944,nm0518081,nm0824438,nm1794148"
tt0367255,nm0757990,\N
tt0367257,nm0766281,"nm0847621,nm0462029,nm1241516"
tt0367258,nm1385330,"nm4825498,nm1008497"
tt0367259,nm0841918,nm0244335
tt0367260,\N,\N
tt0367261,nm0438844,\N
tt0367263,nm0444902,nm0772988
tt0367264,nm0776600,"nm0776600,nm1376822"
tt0367266,nm0231872,nm0231872
tt0367270,"nm1300780,nm0554467,nm0702002","nm0024764,nm0529945,nm0575784"
tt0367271,"nm1114689,nm1198205",\N
tt0367272,"nm2163200,nm1626397",nm2163200
tt0367273,"nm0561336,nm0626211,nm0848222","nm0056819,nm0512836,nm0513106,nm0586091,nm0618975"
tt0367275,\N,nm1380733
tt0367276,"nm0927042,nm0005344,nm0952360","nm0672121,nm1380122,nm0245736,nm0615373,nm0788420,nm0888979,nm0249493,nm0026364,nm2682169"
tt0367278,nm0332985,nm0298350
tt0367279,"nm0003474,nm0403804,nm0751648,nm0082450,nm0751577,nm0155117,nm0151540,nm0609549,nm0287198,nm0490792,nm0075669,nm0002973,nm0000867,nm0420941,nm0578162,nm0025127,nm0281598,nm0500444,nm0552092,nm0762541,nm0038893","nm0403804,nm0885016,nm1545076,nm3014378,nm1770256,nm3015102,nm0742711,nm1058228,nm4589134,nm1770543,nm4889957,nm0271003,nm0552092,nm0520893,nm0178589,nm0505276,nm0206556,nm1706644,nm0851234,nm1546020,nm0918272,nm1049335,nm1307539,nm0721725,nm2030867,nm1003810,nm2023989,nm1836241,nm0766982"
tt0367280,nm0259205,"nm0259205,nm0906284"
tt0367281,"nm1090041,nm1201551",nm1090041
tt0367282,\N,nm0231052
tt0367284,"nm1965993,nm0778062,nm1194001",\N
tt0367288,"nm0035771,nm2993217","nm0035771,nm0432794,nm1628378,nm1628381,nm0603600,nm1397407,nm0371082"
tt0367290,\N,\N
tt0367291,nm0183051,nm2355017
tt0367292,"nm0588877,nm0595610,nm0447383,nm0172772,nm0492974,nm0512327,nm0121169,nm1064083,nm0610303,nm0755589","nm0056192,nm0069108,nm0093972,nm0237163,nm0295819,nm1545999,nm0341707,nm0370058,nm0390981,nm0502643,nm0504363,nm0515319,nm0666875,nm0786795,nm0794063,nm0832493,nm0852086,nm0926315,nm0928399,nm0934580"
tt0367293,\N,nm1492632
tt0367294,"nm0099474,nm1451137,nm0567345,nm1734371,nm0528308","nm0124080,nm1511452,nm1025916,nm1237528,nm0021993,nm0681275,nm0923070,nm1202323,nm0890268"
tt0367295,nm0946735,"nm1061624,nm1379019"
tt0367296,"nm2565709,nm1069219,nm0130303,nm0093334,nm1509957,nm1642005","nm0170444,nm0001094,nm0200772,nm2607403,nm5425599,nm0548250,nm1792027,nm1672233,nm0799654,nm9555204"
tt0367298,"nm0481358,nm0002704,nm0696309",nm0005082
tt0367300,nm1212770,\N
tt0367302,\N,"nm2770155,nm1349535,nm1492632,nm1287705,nm0002791"
tt0367304,nm1419431,\N
tt0367305,"nm2480212,nm0913230,nm2482188,nm0600503,nm0272564,nm0680522",\N
tt0367307,"nm0818633,nm0753651,nm0062201,nm0760622,nm0494360,nm0057424,nm0260913",nm0044391
