tconst,directors,writers
tt0033255,nm0691283,nm0640784
tt0043836,nm0096649,"nm0073053,nm0182244,nm0598102,nm1591044,nm0826642,nm3723347"
tt0139897,nm0548214,nm1438125
tt0148139,nm0879209,"nm0078126,nm0455733"
tt0230151,nm0124571,"nm0124571,nm0350927,nm0556430,nm0882522"
tt0333684,"nm1251737,nm1253698",\N
tt0390164,nm0442718,nm0855381
tt0413232,nm1558334,nm1558334
tt0451870,"nm0003282,nm1651724,nm1018310,nm0300036,nm0950264",nm1140531
tt0460355,nm1925944,\N
tt0460356,nm1473090,nm1773039
tt0460357,nm1047600,\N
tt0460361,\N,\N
tt0460363,"nm2033347,nm1917671,nm1830667,nm1803535","nm1917671,nm1924535,nm1830667,nm1803535"
tt0460364,nm1924125,nm1557907
tt0460365,nm1356588,"nm0023579,nm1836999"
tt0460370,nm0748030,"nm2679103,nm1874915"
tt0460371,\N,\N
tt0460376,"nm4044390,nm1926290,nm1925089","nm1926290,nm13874681,nm13874682,nm1919853,nm1580715,nm1919085,nm1923282,nm1917583,nm1923886,nm1924593"
tt0460379,"nm1921480,nm3790028",nm1921846
tt0460380,"nm0463651,nm1493270,nm1919670,nm1474484","nm0172257,nm1493270,nm1919670,nm0876758,nm0879025"
tt0460381,\N,\N
tt0460382,nm0290328,nm1924194
tt0460384,"nm0331819,nm2900689,nm1986105,nm0755956,nm2263726,nm1820764,nm2338948,nm0913859,nm2197247",nm1159433
tt0460387,"nm2269572,nm0054855,nm1034708,nm2019950,nm0400589,nm2548499,nm0484996,nm1134809,nm1512824,nm0638271,nm1874863","nm2269572,nm3660733,nm1865473,nm0054855,nm1034708,nm0000251,nm0240594,nm1923625,nm0372773,nm0397005,nm0638271,nm0792092"
tt0460390,"nm1231462,nm1920833,nm1920644,nm1917589,nm1917681,nm1910316,nm1918150,nm1055595,nm1917719,nm1917531,nm2208674,nm2771486",nm2208674
tt0460391,nm0818794,nm0818794
tt0460392,"nm1622121,nm1580732","nm1622121,nm1580732"
tt0460394,nm1923369,"nm0348246,nm1923369"
tt0460396,nm1704870,"nm1704870,nm1923681"
tt0460400,nm0898524,"nm0898524,nm2776022,nm2775754"
tt0460401,nm0681401,nm0681401
tt0460402,nm1926421,nm1926421
tt0460403,nm1922202,nm1922202
tt0460404,nm1802239,\N
tt0460405,nm0000005,\N
tt0460406,"nm1093900,nm1014822",nm1093900
tt0460407,nm1168598,nm1168598
tt0460408,nm1918281,nm1918281
tt0460409,nm1765205,"nm1765205,nm1731237"
tt0460411,nm0644971,nm1917528
tt0460412,nm1926284,nm1926284
tt0460413,nm0500535,\N
tt0460414,nm1918416,nm1918416
tt0460415,"nm0233578,nm1130106,nm0539950,nm0675094",\N
tt0460416,nm1292192,nm1292192
tt0460417,nm1921084,nm1921084
tt0460419,nm2633477,nm2633477
tt0460421,nm0590971,\N
tt0460423,nm1243410,\N
tt0460427,nm0000788,nm0860367
tt0460431,nm1922782,"nm1938430,nm1922782,nm0478713"
tt0460432,nm1137907,nm1137907
tt0460433,nm1926284,nm1926284
tt0460435,nm0745488,"nm0416556,nm0905353"
tt0460438,nm1918304,nm1917860
tt0460440,nm0915838,nm0915838
tt0460441,nm1925860,nm1925860
tt0460442,nm1919840,nm1919840
tt0460443,nm0871535,"nm0576193,nm2189725"
tt0460445,nm0682725,"nm0158135,nm0682725"
tt0460449,nm1770760,"nm1488109,nm1770760"
tt0460450,nm0922115,\N
tt0460451,nm1411620,nm1894385
tt0460452,nm0682725,"nm0158135,nm0682725"
tt0460453,"nm0123786,nm1921793","nm0123786,nm1921793"
tt0460454,nm1917569,nm1917569
tt0460455,nm0310329,nm0310329
tt0460457,nm1580758,nm1580758
tt0460458,nm1924097,nm1924097
tt0460459,"nm0688672,nm0912708","nm0688672,nm0912708"
tt0460464,nm1379647,"nm1922074,nm1379647"
tt0460471,nm0794012,nm1921859
tt0460472,nm0994395,nm0994395
tt0460474,nm1920092,nm0902446
tt0460475,"nm0043214,nm0106230,nm0300093,nm0402995,nm1085698,nm0479999,nm1349376,nm0583515,nm0728851",\N
tt0460476,"nm0027370,nm0175264","nm0027370,nm0175264"
tt0460480,nm0182276,nm0182276
tt0460481,nm1439960,nm1439960
tt0460483,\N,\N
tt0460484,nm1104993,nm1104993
tt0460485,nm0144511,nm0144511
tt0460486,nm0084715,"nm2529799,nm1923973"
tt0460488,nm0300093,\N
tt0460489,nm1310756,nm1310756
tt0460490,nm0811320,\N
tt0460491,nm1297139,nm1297139
tt0460492,"nm0005917,nm0904710","nm0105899,nm0321739"
tt0460496,nm0003482,nm0003482
tt0460497,nm0500535,\N
tt0460499,nm0415852,"nm0475142,nm1921861"
tt0460500,\N,\N
tt0460505,nm0082748,nm0779433
tt0460508,"nm0159563,nm1917788,nm1556146",\N
tt0460511,nm1260321,nm1260321
tt0460512,nm1919456,nm1919456
tt0460513,\N,\N
tt0460515,nm11521314,\N
tt0460516,nm0268583,"nm0050998,nm0268583"
tt0460517,nm1926494,nm1926494
tt0460520,nm1926414,nm1926414
tt0460521,nm1823550,nm1823550
tt0460522,nm0250818,"nm0081549,nm0250818"
tt0460524,nm1545970,nm1545970
tt0460525,nm1953407,\N
tt0460526,nm1116485,nm1116485
tt0460527,nm1500658,nm1500658
tt0460528,nm5405113,\N
tt0460529,nm0016176,nm0016176
tt0460530,nm0364780,nm1823239
tt0460531,\N,\N
tt0460532,nm0631860,nm0466614
tt0460535,nm1182066,"nm1182066,nm0648132"
tt0460536,nm1788064,nm1788064
tt0460537,nm1140058,nm1509740
tt0460538,nm0309428,nm0309428
tt0460540,nm0935374,\N
tt0460541,nm0436382,nm1012016
tt0460542,nm1671961,\N
tt0460544,nm1926349,"nm1926349,nm1926056"
tt0460546,nm1500658,nm1156853
tt0460547,nm0482236,nm0482236
tt0460548,nm1238549,nm1238549
tt0460551,nm0310329,nm0310329
tt0460552,nm0678959,nm0076767
tt0460553,nm0001692,nm0001692
tt0460554,nm1267396,\N
tt0460555,"nm1941974,nm0383268,nm1931979,nm1266372,nm1933342","nm1941974,nm0383268,nm1931979,nm1266372,nm1933342"
tt0460556,nm1923157,nm1923157
tt0460557,nm0476620,nm0054358
tt0460559,nm0578899,"nm0770848,nm0838289"
tt0460561,nm0331168,nm1597655
tt0460562,nm1281008,nm1281008
tt0460565,nm0540761,\N
tt0460566,nm0159760,"nm2019072,nm0159760"
tt0460567,nm1754496,nm1754496
tt0460568,nm1226905,\N
tt0460571,"nm1789236,nm0179453,nm1922033","nm1789236,nm1789000"
tt0460572,nm0300093,\N
tt0460573,nm1919536,nm1919536
tt0460574,nm1782510,nm1782510
tt0460579,nm1847674,\N
tt0460581,nm0675673,nm0675673
tt0460585,nm0365276,\N
tt0460586,nm1721409,nm1721409
tt0460587,\N,\N
tt0460589,nm1184488,nm1184488
tt0460591,nm1511117,nm1511117
tt0460592,nm0080143,nm0080143
tt0460595,nm0922115,\N
tt0460598,nm0883319,"nm1920957,nm0605828,nm0883319"
tt0460599,nm0113845,\N
tt0460600,nm1335497,\N
tt0460601,nm1908791,nm1908791
tt0460603,nm1921741,nm1921741
tt0460605,nm1932591,nm1932591
tt0460607,nm1924874,"nm1921525,nm1924874"
tt0460609,"nm0193394,nm0911730","nm1206323,nm0193394,nm1920946,nm1924049,nm0911730"
tt0460611,nm0888241,"nm1901799,nm0926449"
tt0460612,nm1771508,nm1771508
tt0460613,nm0785348,nm0785348
tt0460614,\N,\N
tt0460616,nm1141070,"nm1345585,nm1141070"
tt0460619,"nm0923396,nm0357143","nm0127373,nm2095336,nm0280624,nm2089814,nm0743550,nm0795922,nm0781899,nm0098073,nm1931762,nm0747313,nm0821786"
tt0460620,nm1933519,\N
tt0460621,"nm0827868,nm1691476","nm1926903,nm1134149,nm0453994,nm0453996,nm1429102,nm1347079,nm0827868,nm2129791,nm2089814,nm2093392,nm0027342,nm1156467,nm1125288,nm0331946,nm2370462,nm1996424,nm6312737,nm1617032,nm0379718,nm1011650"
tt0460622,"nm0579318,nm0725983,nm0155117,nm0106230,nm0791381,nm0926526","nm0725983,nm0189504,nm0514735,nm0926938,nm0850632"
tt0460624,"nm0320987,nm0198991,nm0931426,nm0330140,nm0342603,nm0075669,nm0156838,nm0538614,nm0213649","nm0712013,nm0016539,nm0448455,nm1937188,nm0129325,nm0322799,nm0505788,nm0326060,nm0825774"
tt0460625,"nm1642615,nm2561903,nm2759557,nm0335431","nm2306859,nm0806102,nm2308360"
tt0460626,"nm0002835,nm0000770,nm0080601,nm1388562,nm0481358,nm0003447","nm0284956,nm0552588,nm2187301,nm1096268,nm2579344,nm0919735,nm1056414,nm1691091"
tt0460627,"nm0870306,nm0514546,nm0844358,nm0005165,nm0004770,nm0156838,nm0471862,nm0816074,nm0940668,nm0220049,nm0941276,nm0004627,nm0957198,nm0152650,nm0872442,nm0923571,nm0509183,nm0892612,nm0095424,nm0743164,nm0393661,nm0944981,nm0519558,nm0506130,nm0362734,nm2704557,nm0343622,nm0571739,nm0926215,nm0491568,nm0002506,nm0877427,nm0907835,nm0762541,nm0427880,nm0606845,nm0215123,nm0000141,nm0004610,nm0621137,nm0690607,nm0818465,nm0942869,nm0221042,nm0333239,nm0375068,nm0755261,nm0399737,nm0732233,nm1719186,nm0022927,nm0188929,nm0221043,nm0224145","nm0361274,nm1933983,nm0677315,nm0519803,nm0918853,nm2109010,nm1279638,nm1926243,nm1830508,nm4100099,nm0071299,nm0622262,nm6232592,nm2919044,nm2913119,nm0171927,nm0450597,nm1014199,nm0075785,nm0931662,nm2355510,nm1847170,nm0646928,nm0882329,nm0858686,nm1003843,nm0024386,nm0325494,nm1288966,nm1517674,nm1646193,nm0085775,nm1002023,nm6085135,nm1768285,nm5964545,nm0799026,nm0321782,nm0514199,nm1089429,nm1010175,nm0184586,nm8750543,nm0168755,nm1024747,nm0707517,nm1173520,nm1733760,nm1828384,nm1600149,nm0197855,nm0326246,nm4314641,nm3194933,nm5982142"
tt0460628,nm0460172,\N
tt0460630,"nm2719892,nm0821358",\N
tt0460631,"nm0235852,nm0332434,nm0066596,nm0066584,nm0402493,nm0593576,nm0676512,nm0220049,nm0000389,nm0004610,nm0001726,nm0922346,nm0952352,nm0106230,nm0177512,nm0206259,nm0322106,nm0376006,nm0005204,nm0737517,nm0938490,nm0074403,nm0102434,nm0236173,nm0500609,nm0571739","nm0502556,nm0315210,nm0422471,nm0826291,nm1238925,nm0718600,nm2034294,nm0285969,nm1412937,nm1037485,nm0053322,nm1072572,nm1277149,nm0024386,nm1766619,nm0514778,nm1229072,nm0972454,nm2542445,nm2582398,nm2542427,nm0653899,nm0743119,nm1110844,nm2105586,nm2467614"
tt0460634,nm0913637,"nm0672121,nm0674220,nm0909478,nm1010396,nm0829138,nm0278635,nm1461996,nm0837588,nm2120345,nm1871947"
tt0460636,"nm0417794,nm0902939,nm1455688,nm0957197","nm0314381,nm0438446,nm0130735,nm1334099,nm2111309"
tt0460637,"nm0505842,nm0000739,nm0874133,nm0926526,nm0002973,nm0503669,nm0791381,nm0485637,nm0913637,nm0625065,nm0001674,nm0787687,nm0004517,nm0330140,nm0399737,nm0697656,nm0205542,nm0002700,nm0578162,nm0579318,nm0329923,nm0001288,nm0762541,nm0188929,nm0779641","nm0503669,nm0001674,nm0055756,nm1010379,nm1547719,nm2639735,nm0649699,nm1864771,nm1860678,nm0804443,nm0009160,nm0860188,nm0780980,nm1214999,nm0877701,nm1725766,nm0189504,nm0404209,nm0503899,nm1802537,nm0315386,nm1546020,nm0376429,nm1836241,nm0788420,nm2683474,nm1202354,nm0897860,nm1590309,nm1037485,nm0720009,nm0859514"
