tconst,directors,writers
tt0042071,\N,\N
tt0202968,nm0620205,\N
tt0228194,nm0358704,nm0821667
tt0228196,nm0308219,nm0572352
tt0228197,nm0166816,"nm0166816,nm2441485"
tt0228198,nm0934555,nm1187858
tt0228199,nm0099262,"nm0099262,nm0491706"
tt0228202,\N,\N
tt0228203,nm0917543,nm0917543
tt0228204,nm0476753,nm0476753
tt0228205,nm0670343,"nm1262316,nm0238385,nm0670343,nm0929740"
tt0228206,nm0617588,\N
tt0228208,nm0576732,"nm0096497,nm0576732,nm0896729"
tt0228213,nm0346459,"nm0095060,nm0346459"
tt0228214,nm0736445,\N
tt0228215,nm0643138,"nm0336221,nm1793981,nm2324876,nm0902243"
tt0228217,nm0586353,\N
tt0228218,nm0032853,"nm0131255,nm0868531"
tt0228219,nm0617588,\N
tt0228220,nm0781907,nm0781907
tt0228227,nm0136579,"nm0136579,nm0957979"
tt0228228,nm0469313,nm0755824
tt0228229,nm0262460,"nm0088640,nm0262460,nm0708546"
tt0228232,nm0671318,"nm0332123,nm1591003"
tt0228234,nm0832565,nm0832565
tt0228236,nm0557712,\N
tt0228237,nm0001238,nm0001238
tt0228239,nm0473144,"nm0473144,nm0902229"
tt0228240,nm0108923,nm0728522
tt0228241,nm0116818,nm0116818
tt0228242,"nm0239725,nm0553303","nm0239725,nm0553303"
tt0228243,nm0214900,"nm0214900,nm0423345"
tt0228246,nm1747196,"nm1373321,nm1371832,nm2082863"
tt0228247,nm0305451,"nm0305451,nm0324119"
tt0228251,nm0557945,"nm0557945,nm1129278,nm0794221"
tt0228253,nm0879802,"nm0304328,nm0579951"
tt0228254,nm0423228,"nm0708835,nm0766364"
tt0228255,nm0849040,"nm0708835,nm0406902"
tt0228256,nm0303832,nm0508212
tt0228259,nm0403279,nm0403279
tt0228260,nm0753821,"nm8074394,nm0753821"
tt0228261,nm0555839,nm0555839
tt0228262,nm0660159,nm0434019
tt0228264,nm0273217,"nm0273217,nm0556430"
tt0228265,nm0343918,nm0343918
tt0228266,nm0727168,nm0727168
tt0228267,nm0160038,nm1031882
tt0228270,nm0257775,"nm0309933,nm0391680,nm0399381,nm0600143,nm0704798"
tt0228272,nm0906311,"nm0467156,nm0476652,nm0657053,nm0765751,nm0906311"
tt0228273,nm0414257,"nm0414257,nm0634642"
tt0228275,nm1878583,nm1878583
tt0228277,nm0286975,"nm0286211,nm0122614,nm0286975"
tt0228278,nm0257681,nm9564109
tt0228279,nm0255499,\N
tt0228282,\N,\N
tt0228283,nm0784407,"nm0907279,nm0734931,nm0566745"
tt0228286,nm0557980,\N
tt0228287,nm0082420,\N
tt0228292,nm0903049,"nm0397427,nm0958532"
tt0228293,nm0210217,\N
tt0228294,nm0893651,\N
tt0228296,nm1301545,"nm0433221,nm1301545,nm1301584"
tt0228298,nm0387828,"nm0374663,nm0387828"
tt0228299,nm0000428,\N
tt0228300,nm0617588,\N
tt0228301,nm0284075,"nm0284075,nm5186199,nm0370474,nm0750521,nm0952569"
tt0228303,nm0536722,nm0536722
tt0228305,nm0784407,"nm0917394,nm0191897,nm0784407,nm1273263,nm0368743"
tt0228306,nm0607883,nm0278759
tt0228308,nm0345685,\N
tt0228312,nm0376396,\N
tt0228317,nm0395519,nm0395519
tt0228319,nm0323795,"nm0713872,nm0925682"
tt0228320,nm0846010,nm0846010
tt0228321,nm0737395,nm0737395
tt0228325,nm0617588,\N
tt0228326,nm0466047,"nm0466047,nm0051172,nm0915089"
tt0228328,nm0274278,nm0274278
tt0228329,nm0047946,"nm0611841,nm0829044"
tt0228331,nm0784407,"nm0907279,nm0734931,nm0566745"
tt0228332,nm0675094,nm0642281
tt0228333,nm0000118,"nm0837917,nm0000118"
tt0228336,nm0361752,"nm0613547,nm1182832"
tt0228338,\N,\N
tt0228340,nm0906709,nm0010395
tt0228342,nm0547195,"nm0547195,nm0834529"
tt0228344,nm0869664,\N
tt0228345,nm0305034,nm0305034
tt0228349,nm0495838,"nm0256467,nm0495838,nm0684510"
tt0228351,nm0171619,"nm0930064,nm0470913,nm0233548"
tt0228354,nm0259763,nm0259763
tt0228357,nm0208022,\N
tt0228359,\N,\N
tt0228360,nm0465451,nm0464678
tt0228361,nm0465451,nm0464678
tt0228362,nm0411693,nm0847634
tt0228363,nm0423532,"nm0310696,nm0801718"
tt0228364,nm0597233,"nm0324549,nm0394593"
tt0228365,nm0029014,"nm0100352,nm0801718"
tt0228367,nm0620661,\N
tt0228368,nm0557945,"nm1175736,nm0794221"
tt0228373,nm2259325,nm0818175
tt0228374,nm0943921,"nm0819983,nm0941702"
tt0228375,nm0849080,"nm0034840,nm0298561"
tt0228376,nm0605245,"nm0034840,nm0298561"
tt0228377,nm0849080,"nm0034840,nm0298561,nm0948940"
tt0228379,nm0444607,nm0761979
tt0228380,nm0784407,\N
tt0228391,nm0784407,"nm0566745,nm0569708,nm0727999,nm0734931,nm0806018,nm0870987,nm0907279"
tt0228392,nm0091575,"nm0675052,nm1129276"
tt0228394,nm0082680,nm0082680
tt0228395,nm0764564,"nm0169405,nm0764564"
tt0228397,nm0617588,\N
tt0228398,nm0784407,"nm0566745,nm0734931,nm0907279"
tt0228406,nm0727999,"nm0191933,nm0270765,nm0498738,nm0727411,nm0809570,nm0936428"
tt0228408,nm0851101,nm1073739
tt0228412,nm0084904,\N
tt0228413,nm0499253,\N
tt0228415,nm0427775,\N
tt0228416,nm0464934,nm0464934
tt0228418,nm0545043,nm0545043
tt0228419,nm0465451,nm0849099
tt0228425,nm0466424,"nm0466424,nm1257604"
tt0228429,nm0650375,"nm0190363,nm0650375"
tt0228430,nm0161115,"nm0161115,nm0508966"
tt0228431,nm0899520,"nm0756314,nm0899520"
tt0228432,nm0929360,nm0929360
tt0228433,nm0369618,nm0369618
tt0228434,nm0011509,\N
tt0228435,nm0845860,nm0845860
tt0228436,nm0667728,"nm0450292,nm2567215,nm0667728,nm0904069"
tt0228437,nm0196614,nm0746097
tt0228438,nm0448150,nm0448150
tt0228441,nm0528032,\N
tt0228445,\N,\N
tt0228446,nm0690890,nm0214177
tt0228447,nm0617588,\N
tt0228448,nm0796361,nm0233544
tt0228449,nm1103141,"nm0111576,nm1522821,nm0198036"
tt0228453,nm0042291,"nm0695463,nm0042291,nm0059700,nm12894749"
tt0228454,nm0951492,"nm0951577,nm0951492"
tt0228456,nm0651900,"nm0411872,nm0651900"
tt0228457,nm0651900,nm0651900
tt0228459,nm0727518,nm0523431
tt0228460,nm0407023,nm1159690
tt0228461,nm0644943,"nm1166443,nm0644943"
tt0228463,nm0292365,"nm0326792,nm0700330"
tt0228464,nm0003361,"nm1113579,nm0692583"
tt0228465,nm0906709,\N
tt0228468,nm0106950,\N
tt0228475,nm0076419,\N
tt0228476,nm0699556,"nm0099339,nm0699556"
tt0228477,nm0559564,"nm0559564,nm0945242"
tt0228478,nm0784407,"nm0784407,nm1273263,nm0483157,nm0368743"
tt0228479,nm0169572,\N
tt0228481,nm0782703,"nm0198105,nm0836687"
tt0228482,nm0299175,"nm1181962,nm0622053"
tt0228484,"nm0532493,nm0076942","nm0044214,nm0182369,nm0532493"
tt0228486,nm0371114,nm0371114
tt0228487,nm0339175,"nm0066651,nm0339175"
tt0228488,nm0837458,nm0837458
tt0228490,nm0643138,"nm0290467,nm0304328"
tt0228491,nm0770902,nm0774217
tt0228493,nm0557945,"nm1046087,nm0557945,nm1127344"
tt0228494,nm0528043,nm0528043
tt0228495,nm0237208,nm0418991
tt0228496,\N,\N
tt0228497,nm0557945,"nm0435320,nm0557945,nm0794221"
tt0228498,nm0557945,"nm0411107,nm0557945"
tt0228499,nm0881591,"nm2056163,nm0408076,nm0881591"
tt0228501,nm0000770,nm0255278
tt0228502,nm0262561,"nm0102935,nm0396568"
tt0228503,nm0461158,"nm0241414,nm1672151"
tt0228504,nm0032741,nm0032741
tt0228506,nm0687475,nm0687475
tt0228507,nm0005303,nm0005303
tt0228508,nm0837147,"nm1072610,nm1052649,nm0837147,nm1053355"
tt0228509,nm0431294,"nm0431294,nm0691424"
tt0228514,nm0825057,nm0048040
tt0228516,nm0559769,"nm0335924,nm0559769"
tt0228518,nm0470872,nm0470872
tt0228523,nm0283844,nm0283844
tt0228524,nm0784919,nm0784919
tt0228525,nm0287857,nm0287857
tt0228526,nm0030365,"nm0122364,nm1104056"
tt0228528,nm0870186,"nm0449222,nm0850044"
tt0228530,nm0070262,"nm0070262,nm0733562"
tt0228536,nm0369618,nm0369618
tt0228537,nm0947121,\N
tt0228539,nm0255499,\N
tt0228543,nm0613645,nm0156411
tt0228544,nm0299175,"nm0457531,nm0849099"
tt0228545,nm0879937,nm0032816
tt0228546,nm0137345,"nm0090369,nm0137345"
tt0228550,nm0617588,\N
tt0228552,nm0617588,\N
tt0228555,nm0270564,\N
tt0228556,nm0756697,"nm0144596,nm0494378,nm0756696,nm0756697"
tt0228557,nm0644777,nm0644777
tt0228562,\N,\N
tt0228565,nm0723134,\N
tt0228570,nm0867959,nm0867959
tt0228571,nm0617588,\N
tt0228575,nm0337675,nm0561364
tt0228577,nm0330127,"nm0330127,nm0297514,nm0302769"
tt0228583,nm0267064,\N
