tconst,directors,writers
tt0126669,nm0062759,nm0693767
tt0152448,"nm0262337,nm0816917",nm0100072
tt0282359,nm0187671,"nm0606050,nm0747739"
tt0384754,nm0090477,"nm0226201,nm0970565"
tt0384758,nm0543647,"nm1151121,nm0874754"
tt0384759,nm0947345,nm0464974
tt0384761,"nm0147452,nm3039688,nm1210673,nm1471004","nm1419329,nm0143063,nm0543676,nm0854850"
tt0384766,"nm0000776,nm0004121,nm0002339,nm0693561,nm0793455,nm0887700,nm0851930,nm0562266,nm0267497,nm0687964,nm0203215,nm0002083,nm0002399,nm0002726","nm0375285,nm0531973,nm0587518,nm0118420,nm0450394,nm0809327,nm1017827,nm0291205,nm0388130,nm2347302"
tt0384767,nm1533548,"nm2034166,nm0995611,nm3895423,nm3379715,nm3740160,nm3870224"
tt0384769,nm0277001,"nm1084221,nm0954498"
tt0384771,\N,"nm0387506,nm1474952,nm1474011,nm1166648,nm0190540,nm0191814,nm0168856,nm0172873,nm0004180,nm9443860,nm1226732,nm0801969,nm0912888,nm0062820,nm1474938,nm5822256"
tt0384773,\N,"nm1027084,nm1027087"
tt0384775,nm1027823,"nm1027823,nm1349956"
tt0384776,"nm1849376,nm0653392,nm1667990,nm0183051,nm0661010,nm10039421,nm1294608,nm1136969,nm1474776","nm1136969,nm1472120"
tt0384778,nm1475358,nm1195196
tt0384779,nm1006259,\N
tt0384782,"nm1913621,nm2861844",\N
tt0384783,"nm0946148,nm0814786,nm0651706,nm0505409,nm0919154,nm0337550,nm0635416,nm5384247",\N
tt0384784,nm0527074,nm0527074
tt0384786,\N,\N
tt0384787,nm0589495,nm0268279
tt0384788,nm1476105,nm1476105
tt0384790,"nm0145563,nm0786529","nm0145563,nm1916727,nm0786529"
tt0384792,nm1482650,nm1482650
tt0384793,nm0684336,"nm0177836,nm0171651,nm0991423"
tt0384794,nm1032365,\N
tt0384795,nm0205829,nm0781261
tt0384798,nm0744302,nm0744302
tt0384801,nm1474858,"nm1474858,nm2980411,nm2056012,nm2069121"
tt0384802,nm0157337,nm0157337
tt0384803,"nm0427618,nm0944047",nm0427618
tt0384804,nm0950454,nm0950454
tt0384806,nm1497918,"nm0466925,nm0030663,nm0827839,nm0527567,nm0527582"
tt0384810,nm1471001,nm1471001
tt0384811,nm0476267,nm1475378
tt0384812,nm0552872,nm0552872
tt0384814,nm0001801,"nm0001801,nm0266899"
tt0384818,nm0286809,nm0286809
tt0384819,nm0457565,"nm1473712,nm0945451,nm1245013"
tt0384821,nm0358406,\N
tt0384822,nm2161908,nm2161908
tt0384825,nm1475537,"nm1475536,nm1475537"
tt0384827,nm1168564,nm1168564
tt0384828,nm0226992,nm1271651
tt0384829,nm1473115,"nm1476539,nm1473115"
tt0384830,nm0719131,nm0719131
tt0384831,\N,\N
tt0384832,nm0945369,"nm1245013,nm1628318,nm1494403,nm0945369"
tt0384833,nm0228147,"nm1440023,nm2430504"
tt0384834,nm1490118,nm0100768
tt0384838,nm0411504,"nm0017770,nm0540899,nm1337904"
tt0384841,nm0213938,nm0213938
tt0384844,nm0676248,nm0676248
tt0384847,nm0175280,"nm0175280,nm0569621"
tt0384849,nm1154881,nm1090345
tt0384851,"nm1470997,nm1477717","nm1470997,nm1477717,nm3010135"
tt0384852,nm1180436,\N
tt0384853,nm1028275,"nm7365034,nm0648281,nm1323893,nm0898183"
tt0384858,nm1215688,\N
tt0384859,nm1456640,nm1456640
tt0384861,\N,\N
tt0384863,\N,\N
tt0384864,"nm0438071,nm1776606","nm3070986,nm1219744"
tt0384869,nm0178932,\N
tt0384870,nm1472958,"nm1472695,nm1472958,nm1474426"
tt0384874,nm1074844,"nm0701143,nm1474956"
tt0384875,nm0846550,"nm0560857,nm0846550"
tt0384881,nm0330100,\N
tt0384886,nm0479999,\N
tt0384888,nm0414025,nm1583712
tt0384891,nm0893313,"nm1583623,nm0893313"
tt0384894,nm0438051,"nm0438051,nm0697454"
tt0384897,nm0812009,"nm1474598,nm0812009"
tt0384901,"nm1473812,nm1481619",nm1473812
tt0384902,nm0440023,nm1471514
tt0384908,nm0747161,nm0799031
tt0384914,nm1068937,"nm1098400,nm1474801"
tt0384915,nm0795430,"nm0269806,nm0408526,nm1055782,nm0596130,nm2000387"
tt0384916,nm1515496,\N
tt0384917,nm0310216,nm13789797
tt0384919,nm0005866,nm0777688
tt0384923,nm0529454,"nm0214518,nm0473606,nm0529454"
tt0384924,nm0907436,\N
tt0384929,nm0524108,nm0524108
tt0384930,"nm1374130,nm1012499","nm1374130,nm1012499"
tt0384931,nm0603555,\N
tt0384934,nm1356185,nm1356185
tt0384937,nm1473813,"nm1473813,nm1473814"
tt0384941,nm1238056,nm1238056
tt0384944,nm0827295,\N
tt0384945,nm1474766,"nm1471559,nm1429305,nm1474766"
tt0384947,"nm2054027,nm2053321,nm2010377",\N
tt0384948,nm0286790,"nm0286790,nm0000636"
tt0384951,nm0690610,nm0771175
tt0384955,nm1474209,nm1474209
tt0384958,nm0821523,"nm1030187,nm1059187,nm0821523"
tt0384964,\N,nm1649501
tt0384965,nm0485709,\N
tt0384967,"nm0463805,nm1477711",nm1452309
tt0384970,nm1475044,"nm1480074,nm1475044"
tt0384971,nm0615320,\N
tt0384972,nm1471003,nm2172795
tt0384974,nm0957198,"nm0424898,nm0667937"
tt0384985,nm1473519,nm1473799
tt0384991,nm0457565,nm0457565
tt0384994,nm0806924,nm0806924
tt0384999,nm1470914,nm1470914
tt0385002,nm0591994,"nm0591994,nm1471990,nm0791285"
tt0385004,nm0955443,"nm1104077,nm0910841,nm0955443"
tt0385006,nm1203987,nm1203987
tt0385009,nm1339702,"nm0554006,nm1339702"
tt0385010,nm0646391,"nm1241774,nm0646391"
tt0385012,nm0076653,\N
tt0385013,nm0488688,nm1209925
tt0385017,nm0568899,"nm1088298,nm0568899"
tt0385018,nm1485707,nm0112647
tt0385025,nm0725607,nm0725607
tt0385027,nm1488608,nm1488608
tt0385033,nm1474395,\N
tt0385035,nm0844603,"nm2682725,nm1001764"
tt0385038,nm1052083,"nm1052083,nm1475491"
tt0385041,nm1165751,nm1165751
tt0385044,nm1492396,nm0936346
tt0385046,nm0821474,\N
tt0385048,nm1474946,nm1474946
tt0385050,nm0751793,nm0751793
tt0385051,"nm0000419,nm0594746","nm0000419,nm0594746"
tt0385053,nm0141142,nm0580691
tt0385055,\N,\N
tt0385056,nm0000114,nm1475479
tt0385057,nm1425041,nm1475075
tt0385058,nm0912085,nm0132696
tt0385059,nm0330100,\N
tt0385061,nm1473939,nm1476014
tt0385065,nm0268609,"nm1472014,nm0232627,nm0268609"
tt0385073,nm0385978,nm1201398
tt0385074,nm0972724,"nm0972724,nm0333466"
tt0385076,nm1474702,nm1474702
tt0385077,nm0832087,"nm1230585,nm0832087"
tt0385079,nm0807979,"nm0807979,nm0746889"
tt0385080,nm1470985,\N
tt0385082,nm0379088,nm0379088
tt0385087,nm0094288,"nm0169018,nm0432188"
tt0385090,nm1037456,"nm1449577,nm1037456"
tt0385092,nm0147592,"nm0147592,nm0894787"
tt0385093,\N,nm1590426
tt0385097,nm0821523,"nm0475104,nm0821523"
tt0385101,nm1473836,nm1473836
tt0385103,nm0388315,"nm0388315,nm1476942"
tt0385105,\N,\N
tt0385106,nm1472692,nm1472692
tt0385108,nm1503575,nm1503575
tt0385111,nm0873328,nm1435643
tt0385115,nm1082740,nm1082740
tt0385118,"nm1119183,nm1475633",\N
tt0385120,nm0671318,"nm0574241,nm0671318"
tt0385122,nm0436739,nm0436739
tt0385124,nm1477714,nm1474250
tt0385128,nm1388079,"nm1388079,nm1473471"
tt0385129,nm1416658,nm1416658
tt0385132,nm0332346,\N
tt0385135,nm1475086,nm1475086
tt0385137,nm0581303,\N
tt0385139,nm1473897,\N
tt0385141,nm0529454,"nm0367960,nm0473606,nm0529454,nm0686138,nm0901333"
tt0385142,nm0430927,nm0430927
tt0385144,nm1194448,nm1194448
tt0385154,nm0494110,\N
tt0385155,nm0613888,\N
tt0385157,"nm0102273,nm0755877",\N
tt0385160,nm1471005,nm1471005
tt0385161,nm1475171,nm1475171
tt0385162,"nm0703028,nm0703029",\N
tt0385163,nm0733415,"nm0261922,nm0506027"
tt0385164,nm0159691,nm0159691
tt0385165,nm0330100,\N
tt0385166,nm0623919,nm0057381
tt0385167,nm0860447,nm0860447
tt0385169,nm1350461,nm1350461
tt0385173,nm0516233,nm0516233
tt0385175,nm0940393,\N
tt0385176,\N,\N
tt0385178,\N,nm2347749
tt0385180,nm0482943,nm0482943
tt0385183,nm0005846,"nm1471509,nm1473262,nm1075038,nm0459996"
tt0385184,nm1032365,\N
tt0385188,nm0344888,"nm0344888,nm0837183"
tt0385189,nm1473075,nm0551382
tt0385191,"nm1471743,nm1475185","nm1471743,nm1480065"
tt0385193,\N,\N
tt0385195,nm0389311,nm0389311
tt0385199,nm0646090,"nm0369458,nm0646090"
tt0385202,nm0849011,"nm1471563,nm0905271"
tt0385205,nm1474334,"nm3350237,nm1474334"
tt0385206,nm1475537,"nm1474291,nm1475537"
tt0385210,nm0108879,\N
tt0385212,nm1076348,nm1593798
