tconst,directors,writers
tt0079978,nm0171562,nm0171562
tt0092340,"nm0827107,nm0811185,nm0126448",nm1094793
tt0142161,"nm0487237,nm0634366",nm0487237
tt0185194,"nm7855016,nm1383079","nm0426365,nm1383079,nm3696408,nm0996022"
tt0193645,nm0465045,nm0465045
tt0193646,nm0465045,"nm0465045,nm3072146"
tt0193647,nm0238138,"nm0101247,nm0238138,nm0000464"
tt0193649,nm0705832,nm0958708
tt0193651,nm3125212,\N
tt0193652,nm0369737,"nm0369737,nm0578331"
tt0193653,nm0161140,nm2503982
tt0193660,nm0557065,nm0435026
tt0193661,nm0856293,"nm0856293,nm0227279"
tt0193662,nm0210738,nm0210738
tt0193663,nm0465045,"nm0133411,nm0465045"
tt0193665,nm0465177,nm0468169
tt0193668,"nm0259474,nm1005906","nm0527578,nm0887216,nm0887217,nm0648425,nm1270715"
tt0193669,"nm0092110,nm0105723,nm0246937,nm0510790","nm0046249,nm0510790"
tt0193671,"nm3849125,nm0089135","nm3849749,nm3849927"
tt0193673,nm0174395,"nm0119989,nm0174395"
tt0193676,"nm0440458,nm0031976,nm0330057,nm0477129,nm0322128,nm0037708,nm0082450,nm0500444,nm0646440","nm0082450,nm0031976,nm0925234,nm0431817,nm0630070,nm0007091,nm0918441,nm0510937,nm0052446,nm0440459,nm0456990"
tt0193677,"nm1448817,nm1449869,nm6267927","nm0157480,nm0402656"
tt0193678,nm2818932,\N
tt0193679,"nm7055817,nm3499269,nm3239919",\N
tt0193680,"nm0821358,nm0930694,nm0562932,nm1512405,nm0449871,nm0936117","nm0018661,nm4591867"
tt0193681,nm0303809,nm2433889
tt0193684,nm6083195,nm4813456
tt0193685,nm0781182,"nm0428478,nm0669002"
tt0193686,\N,nm0253167
tt0193688,nm0809372,\N
tt0193690,nm0523239,nm0523239
tt0193692,nm1649016,nm1649016
tt0193693,nm0403414,\N
tt0193699,\N,\N
tt0193700,nm0525265,"nm0692180,nm0937905"
tt0193701,nm0614772,"nm0614772,nm0829637"
tt0193702,nm0727978,nm0727978
tt0193704,nm0889024,"nm0100301,nm0816458"
tt0193706,nm0054862,nm0054862
