tconst,directors,writers
tt0081251,nm0131769,nm0281865
tt0276979,nm0217035,"nm0273348,nm0889588"
tt0281061,"nm2117450,nm0860256","nm0963224,nm13464299"
tt0300297,nm0483316,"nm0317179,nm0483316"
tt0348582,nm0819753,\N
tt0348583,\N,\N
tt0348585,nm0344780,nm0199101
tt0348587,nm0256340,nm0256340
tt0348590,nm0443427,"nm10358782,nm0443427"
tt0348591,nm1305425,"nm2189955,nm2184889"
tt0348593,nm0931095,"nm0410288,nm0931095"
tt0348595,nm0895302,nm0304279
tt0348596,nm0072693,nm0850547
tt0348601,nm0170030,"nm1202178,nm1383742"
tt0348603,nm0650381,\N
tt0348608,nm0021037,"nm0308689,nm0402555"
tt0348611,nm0836316,\N
tt0348620,nm0132926,nm0183968
tt0348624,nm1166408,nm1306875
tt0348625,nm0227819,nm0678199
tt0348629,nm1212514,"nm0146548,nm0685789"
tt0348637,nm0464526,"nm0196496,nm0464526"
tt0348641,\N,\N
tt0348643,nm0879261,"nm0313756,nm1306031"
tt0348644,nm0195934,\N
tt0348646,nm0227819,nm0227819
tt0348648,nm0257093,\N
tt0348651,nm1255251,\N
tt0348656,"nm0754184,nm2177665","nm1339147,nm1339233,nm0754184"
tt0348662,"nm1667633,nm1397301","nm1665978,nm1493975,nm1084488"
tt0348663,nm0005272,"nm1307692,nm0005272"
tt0348664,nm0003776,nm0003776
tt0348666,\N,\N
tt0348668,nm0692105,\N
tt0348671,\N,\N
tt0348674,nm0743362,\N
tt0348680,nm0533251,nm0293801
tt0348681,nm0520700,\N
tt0348682,nm0895302,nm1294160
tt0348688,nm1306827,"nm1304018,nm1306827"
tt0348691,nm0080278,"nm0080278,nm1894520"
tt0348694,nm1304728,nm0571833
tt0348695,"nm1303965,nm1244297,nm0239586,nm0494557,nm0621278,nm1033472",\N
tt0348696,nm0462513,"nm0462513,nm0560685"
tt0348697,nm0946146,nm0202041
tt0348698,nm0560685,nm0560685
tt0348706,nm0501045,"nm13340205,nm3206668,nm0476257"
tt0348710,nm0501045,nm0476257
tt0348712,nm0217779,"nm0217779,nm9776066"
tt0348720,nm0307870,nm0307870
tt0348722,nm0856051,nm0856051
tt0348723,nm0227819,nm0678199
tt0348726,nm0227819,nm0227819
tt0348728,nm0184323,"nm1108368,nm0184323,nm0932738"
tt0348729,\N,nm1308634
tt0348730,nm0836316,\N
tt0348731,\N,\N
tt0348732,nm0141127,nm0141127
tt0348733,nm0227819,nm1304450
tt0348739,nm0444936,"nm0263837,nm0683362"
tt0348741,nm0632970,nm0895538
tt0348742,nm10051765,nm3222607
tt0348744,nm0597689,\N
tt0348746,nm0263609,\N
tt0348749,"nm0648036,nm0661081","nm0648036,nm0661081"
