tconst,directors,writers
tt0014635,nm0315780,nm0315780
tt0022766,nm0094801,"nm0094801,nm0301798"
tt0023618,nm0094801,"nm0013403,nm0094801,nm0301798"
tt0143347,nm0919899,nm0919899
tt0150372,nm0284504,"nm0016628,nm0198786"
tt0344498,nm1235950,nm1202581
tt0401811,\N,"nm10436684,nm0236519,nm0001302,nm0000195,nm0000601"
tt0401813,nm0719818,nm1559031
tt0401815,nm0353183,nm0714695
tt0401816,nm0688093,nm1045417
tt0401817,nm0341001,nm0399560
tt0401819,nm1266210,\N
tt0401820,nm0402980,\N
tt0401821,\N,nm1628291
tt0401824,nm0195996,nm0195996
tt0401828,"nm1622117,nm1661090",\N
tt0401831,nm0865101,nm0865101
tt0401832,nm1558143,"nm1558143,nm1634420"
tt0401833,nm0712384,\N
tt0401834,nm0712384,\N
tt0401835,nm0403442,\N
tt0401836,\N,\N
tt0401841,nm0300924,\N
tt0401843,nm0013140,"nm1405081,nm1886831"
tt0401845,nm0745037,"nm0385940,nm0745037"
tt0401846,nm0434066,\N
tt0401849,\N,\N
tt0401851,\N,\N
tt0401853,nm1564614,nm1564614
tt0401855,nm0936482,"nm0564286,nm0936482,nm0340485"
tt0401863,nm1561202,"nm1561202,nm1583709"
tt0401869,nm1230977,\N
tt0401871,nm0258324,"nm0258324,nm0629205"
tt0401873,nm0752316,nm0832535
tt0401875,nm1246883,nm1628335
tt0401881,\N,nm0709411
tt0401883,"nm0741569,nm0004681","nm0741569,nm0004681"
tt0401886,nm0003473,"nm1622364,nm1622382"
tt0401887,nm0381318,nm0381318
tt0401889,\N,\N
tt0401890,nm1565844,nm2695088
tt0401893,nm0367330,\N
tt0401898,nm1389583,"nm1389583,nm13639285,nm7174941,nm5754061"
tt0401899,"nm0004466,nm2065710","nm0004466,nm3853965"
tt0401902,nm8246974,"nm0799442,nm8246974"
tt0401903,nm0038989,nm0038989
tt0401905,nm1790004,nm1790004
tt0401907,nm0479682,"nm0479682,nm1802530"
tt0401910,nm1459646,\N
tt0401913,"nm0703745,nm1369426,nm1142073,nm0909608","nm1568295,nm0339577,nm0364673,nm0461614,nm0658471"
tt0401914,nm2183038,"nm0066919,nm2183038"
tt0401915,"nm0057511,nm1440457,nm0891919","nm2160561,nm0597652,nm1686808,nm0748364,nm1228903,nm1399416,nm0890715"
