tconst,directors,writers
tt0014568,nm0189076,"nm0892045,nm0923405"
tt0015981,nm0560363,"nm0560363,nm0401435"
tt0030788,nm0505354,nm0309856
tt0123016,nm0900485,"nm0129389,nm0210322,nm0526039"
tt0149596,nm0711197,"nm0607334,nm0476668,nm0856056"
tt0171454,nm0451134,\N
tt0249395,nm0273348,"nm0273348,nm0868531"
tt0257831,nm0706484,"nm0706484,nm0766463"
tt0321155,nm0216022,nm0302055
tt0327460,nm0417794,"nm1267880,nm0213385,nm0316139,nm0746687"
tt0327464,nm0640466,"nm0640466,nm0872485"
tt0327465,nm0151751,nm0151751
tt0327466,nm0197929,nm0197929
tt0327467,nm0340886,nm0340886
tt0327469,nm0944047,"nm1215674,nm0944047"
tt0327472,"nm0206729,nm0519983",nm2462923
tt0327482,nm0075302,"nm0075302,nm1222882"
tt0327483,nm0938447,nm0938447
tt0327490,nm0931435,"nm1216563,nm0385076,nm0931435"
tt0327493,nm0701942,"nm0054214,nm0701942"
tt0327495,nm0043665,nm7840704
tt0327496,nm0383931,"nm0383931,nm1818136"
tt0327498,nm0299923,nm1421285
tt0327506,nm1217939,nm1035045
tt0327507,nm1216829,nm1219732
tt0327511,nm1216934,"nm1573569,nm1573890"
tt0327512,nm1217257,nm1217257
tt0327513,nm0860894,nm1217144
tt0327520,nm1228978,nm1228978
tt0327526,nm0209213,nm0209213
tt0327539,nm0192698,nm0192698
tt0327543,nm0713163,\N
tt0327545,nm1026592,nm1026592
tt0327546,nm0647438,"nm0647438,nm0096566"
tt0327548,nm0377741,nm0913017
tt0327549,nm0059164,"nm0059164,nm1215668"
tt0327551,"nm0758574,nm0858680,nm1144331",\N
tt0327554,nm0685759,"nm0004170,nm0714246,nm0104335,nm0274905,nm0736966"
tt0327556,nm0877783,nm1342096
tt0327566,nm1218135,nm0017792
tt0327571,"nm0110293,nm0110294","nm0110293,nm0110294"
tt0327577,nm0994562,"nm1215982,nm0994562"
tt0327578,nm0898603,"nm0494355,nm0898603"
tt0327579,"nm0439555,nm1218281",nm1218281
tt0327580,nm0674516,nm0674516
tt0327582,nm0843189,nm0843189
tt0327592,nm0270671,"nm0270671,nm1221361"
tt0327593,"nm0085865,nm0807236",\N
tt0327594,nm0652926,"nm0652926,nm0392727"
tt0327597,nm0783139,"nm0783139,nm0301274"
tt0327598,nm1215807,"nm1215807,nm1125366"
tt0327601,"nm1380802,nm0735686","nm1026908,nm0215988"
tt0327608,nm1202188,\N
tt0327611,nm0788391,\N
tt0327612,nm1215688,nm0684501
tt0327613,nm0269993,nm0269993
tt0327614,nm0619838,"nm0619838,nm2304480"
tt0327622,nm1185170,"nm0192384,nm1185170"
tt0327628,nm0504963,nm0504963
tt0327630,nm0914923,nm0507574
tt0327635,nm1130592,nm1130592
tt0327636,nm0470207,"nm0420590,nm0726440"
tt0327637,nm0550892,nm0669411
tt0327638,nm0850733,nm0850733
tt0327641,nm1215482,nm1215482
tt0327642,nm0796281,\N
tt0327643,nm0038875,nm0000189
tt0327644,"nm0195287,nm0018732","nm0018732,nm0195287"
tt0327645,nm0227020,\N
tt0327646,nm0892784,nm1225187
tt0327647,nm0834676,nm1546013
tt0327648,nm0708001,"nm0023551,nm3029835,nm2136994"
tt0327654,nm1097554,"nm1097553,nm0758699"
tt0327658,nm0405440,"nm0127093,nm0383867"
tt0327660,nm0844038,"nm1108204,nm0843867,nm0844038"
tt0327661,\N,nm1908941
tt0327662,nm0161716,"nm0161716,nm1216614"
tt0327664,nm0804121,nm1218326
tt0327665,nm0247826,"nm2018154,nm0699218"
tt0327667,nm0995660,nm0995660
tt0327670,nm1090650,"nm0314826,nm1090650"
tt0327674,nm1212867,"nm1212867,nm1099848"
tt0327675,nm0378069,"nm0088292,nm1646541,nm0908624"
tt0327676,nm0356995,nm0356995
tt0327679,nm0641373,"nm0185934,nm0527581,nm0809006,nm0372659,nm0938293,nm1217079"
tt0327680,nm0597243,nm0597243
tt0327681,nm1119160,"nm0387477,nm1119160,nm1525474"
tt0327682,nm0404008,"nm0008098,nm0760617"
tt0327685,nm1216767,\N
tt0327689,nm0776458,"nm0315418,nm0501872,nm0826289,nm0025926,nm0960177"
tt0327691,nm0310673,nm1216895
tt0327692,nm0453678,nm1101194
tt0327693,nm1218108,\N
tt0327694,nm1247459,"nm1215672,nm0592747"
tt0327695,nm0136552,"nm0209802,nm0736099,nm0017824,nm0762144,nm0033185,nm0643582"
tt0327698,nm0573732,"nm0213127,nm0912940,nm0727760"
tt0327699,nm0005570,"nm0048511,nm0005570"
tt0327703,nm1218116,nm1218116
tt0327706,nm0000249,nm0000249
tt0327708,nm1218044,nm0939606
tt0327716,nm0430047,\N
tt0327717,nm0375983,nm0018636
tt0327718,nm0723134,nm0723134
tt0327730,nm0299175,"nm0299175,nm0847634"
tt0327733,nm0553941,"nm0553941,nm0769351"
tt0327735,nm0117545,nm0775781
tt0327745,nm1216723,nm1216723
tt0327746,nm0333705,"nm0123997,nm0333705,nm0416556"
tt0327748,\N,\N
tt0327753,nm1216004,nm1216004
tt0327754,nm0704716,nm0704716
tt0327759,"nm1217519,nm1218169","nm1216570,nm1297426,nm1376275,nm1356343,nm0734570"
tt0327760,nm0937341,"nm0035990,nm1219740"
tt0327761,nm1701267,"nm1195712,nm1701267"
tt0327766,nm1105142,"nm1105120,nm1105142,nm1217612"
tt0327767,nm1746022,nm1216918
tt0327770,nm0682913,nm0682913
tt0327775,nm0793174,"nm0904057,nm0751720"
tt0327776,nm0172116,\N
tt0327781,nm0018732,\N
tt0327784,\N,\N
tt0327789,nm0620052,"nm1068209,nm0847026"
tt0327790,nm0620052,"nm1068209,nm0847026"
tt0327791,nm0620052,nm1213687
tt0327796,nm0018732,\N
tt0327798,nm0018732,nm0950045
tt0327801,nm0533559,nm0578117
tt0327802,nm1218272,\N
tt0327804,nm0650233,"nm0385264,nm1223712,nm0277389"
tt0327805,nm0367547,nm1196725
tt0327809,nm0924920,\N
tt0327816,nm0367547,nm1196725
tt0327819,nm0683442,"nm0683442,nm0263619"
tt0327821,nm0924920,\N
tt0327822,\N,\N
tt0327823,nm0353330,nm0353330
tt0327828,nm0031888,"nm0031888,nm0370627"
tt0327830,"nm1058822,nm3737883",nm1059404
tt0327835,nm0451262,nm0451262
