tconst,averagerating,numvotes
tt0014568,7.4,14
tt0015981,4.8,12
tt0030788,7.0,14
tt0123016,7.0,6
tt0149596,5.0,6
tt0171454,7.4,7
tt0249395,4.6,11
tt0257831,7.0,7
tt0321155,6.6,7
tt0327460,6.8,14
tt0327464,7.8,80
tt0327465,7.8,5
tt0327466,4.6,19
tt0327467,5.5,59
tt0327469,5.1,67
tt0327472,6.9,24
tt0327482,4.4,330
tt0327483,7.6,101
tt0327490,5.8,7
tt0327493,3.7,17
tt0327495,6.2,14
tt0327496,8.0,34
tt0327498,3.6,177
tt0327506,7.3,7
tt0327507,3.1,12
tt0327511,5.7,10
tt0327512,6.9,21
tt0327513,3.4,17
tt0327520,4.4,158
tt0327526,5.5,8
tt0327539,5.6,57
tt0327543,5.4,15
tt0327545,6.2,23
tt0327546,6.3,561
tt0327548,8.9,75
tt0327549,7.9,25
tt0327551,5.9,48
tt0327554,3.4,123272
tt0327556,4.6,21
tt0327566,8.7,28
tt0327571,6.4,6
tt0327577,6.9,12
tt0327578,6.8,8
tt0327579,6.2,109
tt0327580,7.2,8
tt0327582,8.9,20
tt0327592,7.8,24
tt0327593,4.6,114
tt0327594,5.0,181
tt0327597,7.7,248813
tt0327598,7.2,6
tt0327601,4.4,14
tt0327608,7.8,85
tt0327611,6.3,25
tt0327612,5.4,8
tt0327613,8.5,14
tt0327614,5.4,20
tt0327622,5.5,153
tt0327628,5.3,165
tt0327630,4.8,20
tt0327635,4.8,50
tt0327636,6.2,16
tt0327637,4.8,12
tt0327638,6.3,301
tt0327641,6.8,16
tt0327642,6.9,41
tt0327643,3.5,7313
tt0327644,6.5,28
tt0327645,7.1,12
tt0327646,6.1,141
tt0327647,3.6,9
tt0327648,7.1,79
tt0327654,7.7,212
tt0327658,8.7,49
tt0327660,5.1,438
tt0327661,8.3,67
tt0327662,7.9,11
tt0327664,2.3,16
tt0327665,5.4,132
tt0327667,7.9,15
tt0327670,5.0,5
tt0327674,6.0,17
tt0327675,4.3,27
tt0327676,6.0,6
tt0327679,6.3,72059
tt0327680,5.9,51
tt0327681,6.9,189
tt0327682,7.0,659
tt0327685,8.2,23
tt0327689,5.8,9
tt0327691,7.1,124
tt0327692,5.0,19
tt0327693,8.6,11
tt0327694,7.4,21
tt0327695,5.7,24
tt0327698,6.2,7306
tt0327699,8.8,66
tt0327703,9.1,17
tt0327706,6.5,44
tt0327708,7.2,6
tt0327716,6.3,34
tt0327717,4.5,433
tt0327718,4.9,45
tt0327730,6.1,104
tt0327733,3.4,167
tt0327735,5.4,16
tt0327745,7.2,45
tt0327746,6.9,274
tt0327748,4.4,36
tt0327753,6.4,2860
tt0327754,4.3,88
tt0327759,5.8,419
tt0327760,4.5,18
tt0327761,6.2,1093
tt0327766,7.5,34
tt0327767,4.2,71
tt0327770,6.4,68
tt0327775,6.2,466
tt0327776,6.3,25
tt0327781,7.6,103
tt0327784,4.6,9
tt0327789,4.4,26
tt0327790,5.3,13
tt0327791,7.0,10
tt0327796,7.6,104
tt0327798,7.8,96
tt0327801,7.5,36
tt0327802,6.5,16
tt0327804,7.5,887
tt0327805,6.0,24
tt0327809,4.6,100
tt0327816,3.5,30
tt0327819,4.0,14
tt0327821,4.0,101
tt0327822,5.3,47
tt0327823,6.4,17
tt0327828,6.4,182
tt0327830,6.8,55
tt0327835,7.6,1497
tt0327836,7.3,9
tt0327838,6.8,18
tt0327842,5.0,15
tt0327844,6.3,21
tt0327850,6.6,110966
tt0327864,5.5,69
tt0327874,6.8,10
tt0327888,6.2,200
tt0327889,6.3,8
tt0327890,8.0,3484
tt0327892,6.3,20
tt0327895,4.2,7
tt0327898,8.0,19
tt0327899,7.4,13
tt0327905,8.0,28
tt0327909,6.8,56
tt0327914,6.2,46
tt0327916,7.7,6
tt0327917,5.5,8
tt0327919,7.1,7951
tt0327920,7.4,2181
tt0327921,8.1,62
tt0327925,4.3,42
tt0327926,8.3,9
tt0327929,6.7,9
tt0327938,6.5,14
tt0327940,5.1,117
tt0327941,4.6,32
tt0327947,8.1,28
tt0327949,7.3,56
tt0327950,8.2,537
tt0327951,5.3,797
tt0327956,4.7,48
tt0327958,2.9,69
tt0327959,3.0,72
tt0327960,8.1,19
tt0327966,5.1,133
tt0327967,4.2,18
tt0327969,5.6,11
tt0327971,7.1,28
tt0327973,5.8,14
tt0327976,7.0,11
tt0327991,7.0,22
tt0327992,7.6,162
tt0327993,8.1,25
tt0327998,6.8,7
tt0327999,7.0,10
tt0328001,5.5,8
tt0328003,6.4,66
tt0328007,5.7,3848
tt0328013,6.8,8
tt0328016,6.9,14
tt0328017,5.8,7
tt0328027,6.8,10
tt0328031,6.1,4446
tt0328033,7.3,52
tt0328034,5.2,496
tt0328038,7.8,8
tt0328039,6.4,56
tt0328041,6.5,7
tt0328044,6.5,12
tt0328045,5.0,211
tt0328046,7.4,9
tt0328048,5.4,8
tt0328049,6.7,70
tt0328051,8.6,9
tt0328055,6.7,225
tt0328063,2.0,9
tt0328064,4.3,10
tt0328068,6.8,13
tt0328077,6.3,3651
tt0328078,6.4,447
tt0328084,4.3,48
tt0328087,5.0,25
tt0328088,5.7,14
tt0328089,4.6,86
tt0328091,7.8,25
tt0328092,6.2,7
tt0328093,6.6,7
tt0328094,3.8,205
tt0328095,5.6,19
tt0328096,6.4,124
tt0328097,6.5,485
tt0328099,5.2,20440
tt0328104,6.7,60
tt0328105,5.6,19
tt0328107,7.7,376079
tt0328113,4.6,17
tt0328116,6.6,520
tt0328119,3.4,16
tt0328121,5.4,343
tt0328132,6.0,1831
tt0328137,5.8,191
tt0328140,4.7,7
tt0328149,7.3,11
tt0328152,6.9,18
tt0328153,6.4,21
tt0328162,3.5,50
tt0328167,4.9,11
tt0328170,3.4,18
tt0328171,8.7,11
tt0328175,4.7,54
tt0328176,3.3,72
tt0328177,5.4,14
tt0328179,4.9,364
tt0328181,4.9,18
tt0328183,6.5,271
tt0328190,3.0,59
tt0328195,6.6,23
tt0328199,7.3,519
tt0328200,7.4,17
tt0328202,6.8,15
tt0328203,8.0,18
tt0328206,5.8,109
tt0328208,6.4,18
tt0328213,5.4,80
tt0328214,8.1,56
tt0328218,5.2,68
tt0328223,7.3,116
tt0328225,5.2,10
tt0328226,4.1,113
tt0328227,8.5,17
tt0328228,7.7,336
tt0328230,5.4,230
tt0328232,7.8,9
tt0328233,4.5,79
tt0328236,5.2,9
tt0328241,8.0,51
tt0328242,5.4,103
tt0328249,7.7,11
tt0328251,5.1,20
tt0328258,7.0,3425
tt0328259,5.8,20
tt0328260,6.5,22
tt0328263,6.6,107
tt0328264,5.8,16
tt0328265,9.3,23
tt0328267,5.5,17
tt0328268,6.8,56
tt0328269,7.3,63
tt0328270,6.9,419
tt0328277,4.0,12
tt0328279,6.9,351
tt0328280,7.0,27
tt0328284,6.4,103
tt0328285,8.0,101
tt0328287,6.7,101
tt0328288,7.8,20
tt0328290,7.0,139
tt0328294,7.3,178
tt0328295,6.1,100
tt0328296,7.0,28
tt0328297,6.6,17
tt0328298,5.0,9
tt0328300,5.9,175
tt0328302,7.5,71
tt0328303,6.2,41
tt0328308,7.4,144
tt0328313,6.0,16
tt0328316,6.9,1034
tt0328317,6.0,97
tt0328327,5.4,47
tt0328328,6.7,17
tt0328332,6.1,20
tt0328333,7.2,10
tt0328337,6.0,19
tt0328338,6.2,70
tt0328344,7.1,34
tt0328346,6.0,17
tt0328347,4.4,27
tt0328349,7.0,2358
tt0328354,6.3,60
tt0328367,3.3,8
tt0328368,6.4,9
tt0328369,8.4,15
tt0328372,8.2,102
tt0328374,6.0,97
tt0328376,4.9,49
tt0328377,8.2,365
tt0328378,4.0,367
tt0328385,7.5,41
tt0328386,5.8,70
tt0328388,6.1,10
tt0328390,5.8,456
tt0328393,5.6,5
tt0328395,2.2,7
tt0328398,7.7,12
tt0328400,5.3,646
tt0328401,7.6,58
tt0328403,8.0,101
tt0328408,7.7,24
tt0328412,4.1,19
tt0328416,6.8,16
tt0328417,4.6,20
tt0328418,6.2,7
tt0328419,6.6,16
tt0328420,6.7,536
tt0328430,6.9,10
tt0328432,5.1,729
tt0328434,7.1,218
tt0328442,5.4,47
tt0328449,7.8,13
tt0328452,6.8,11
tt0328456,6.3,180
tt0328462,7.8,30
tt0328464,5.8,16
tt0328465,5.3,19
tt0328475,7.7,718
tt0328478,7.1,24
tt0328486,3.0,50
tt0328489,6.4,100
tt0328491,8.1,33
tt0328492,6.7,23
tt0328494,6.2,46
tt0328495,5.5,14
tt0328499,8.3,177
tt0328500,5.5,79
tt0328501,7.0,30
tt0328503,5.4,190
tt0328509,6.6,454
tt0328510,8.5,10
tt0328511,6.8,57
tt0328513,6.8,43
tt0328514,7.4,17
tt0328515,4.1,117
tt0328516,5.4,7
tt0328517,4.6,8
tt0328518,5.7,9
tt0328519,6.7,9
tt0328520,6.2,10
tt0328521,6.2,9
tt0328523,6.6,28
tt0328528,2.8,146
tt0328538,6.8,94201
tt0328544,7.4,191
tt0328546,2.8,42
tt0328547,6.0,62
tt0328549,6.8,23
tt0328550,7.1,38
tt0328551,8.1,86
tt0328556,7.0,9
tt0328567,7.4,58
tt0328569,3.7,27
tt0328570,4.1,40
tt0328571,8.3,11
tt0328572,5.5,20
tt0328573,5.8,20
tt0328588,7.7,9
tt0328589,6.7,55811
tt0328593,7.5,20
tt0328594,3.3,19
tt0328595,5.3,17
tt0328596,6.4,18
