tconst,averagerating,numvotes
tt0079978,7.0,7
tt0092340,2.2,6
tt0142161,5.4,9
tt0185194,7.8,21
tt0193645,7.2,80
tt0193646,7.5,16
tt0193647,6.6,353
tt0193649,7.8,60
tt0193651,7.5,45
tt0193652,6.8,31
tt0193653,7.6,44
tt0193660,6.6,340
tt0193661,8.4,12
tt0193662,7.5,109
tt0193663,7.8,15
tt0193665,7.9,43
tt0193668,6.8,15
tt0193669,7.3,25
tt0193671,7.7,110
tt0193673,8.5,59
tt0193676,8.8,148693
tt0193677,8.1,1077
tt0193678,5.4,50
tt0193679,7.7,269
tt0193680,5.2,15
tt0193681,8.1,13
tt0193684,6.7,129
tt0193685,7.7,117
tt0193686,8.5,17
tt0193688,7.0,354
tt0193690,7.0,84
tt0193692,8.0,20
tt0193693,4.9,74
tt0193699,5.8,23
tt0193700,6.0,9
tt0193701,6.2,500
tt0193702,2.8,14
tt0193704,5.6,9
tt0193706,7.0,77
tt0193707,6.5,35
tt0193711,4.3,28
tt0193715,7.4,645
tt0193716,5.5,4727
tt0193717,5.3,11
tt0193720,7.8,28
tt0193723,7.0,11
tt0193724,6.7,35
tt0193725,6.4,6
tt0193726,7.2,31
tt0193727,6.7,94
tt0193731,5.7,23
tt0193732,5.9,184
tt0193733,6.9,35
tt0193735,8.0,8
tt0193737,7.3,24
tt0193738,5.2,37
tt0193741,5.9,1361
tt0193745,6.3,45
tt0193746,6.8,36
tt0193747,7.7,28
tt0193750,6.7,48
tt0193754,5.5,11
tt0193757,6.4,6
tt0193758,5.2,10
tt0193760,7.4,6
tt0193763,6.1,807
tt0193764,7.0,19
tt0193765,8.1,107
tt0193770,6.5,136
tt0193771,6.4,380
tt0193774,5.3,145
tt0193783,5.8,19
tt0193784,3.3,49
tt0193786,5.6,34
tt0193787,4.8,40
tt0193790,5.6,126
tt0193791,6.0,7
tt0193793,4.9,85
tt0193794,5.5,17
tt0193795,7.2,63
tt0193797,9.7,10
tt0193800,6.6,10
tt0193801,6.9,109
tt0193802,5.5,17
tt0193806,6.1,11
tt0193808,7.2,21
tt0193811,4.8,28
tt0193813,7.2,67
tt0193818,7.0,16
tt0193819,6.4,14
tt0193820,5.2,94
tt0193821,8.4,17
tt0193822,7.8,11
tt0193825,3.9,10
tt0193831,6.3,12
tt0193832,6.3,68
tt0193837,7.1,771
tt0193839,7.1,70
tt0193841,7.1,54
tt0193844,4.6,10
tt0193846,7.8,19
tt0193849,6.7,17
tt0193850,6.2,296
tt0193852,6.8,6
tt0193853,5.2,174
tt0193854,6.2,2399
tt0193855,7.2,18
tt0193856,5.2,20
tt0193859,4.4,96
tt0193862,5.5,58
tt0193863,6.5,40
tt0193865,4.7,8
tt0193866,5.3,20
tt0193867,4.7,28
tt0193878,5.0,9
tt0193879,4.8,1365
tt0193882,6.8,10
tt0193884,6.7,30
tt0193886,5.5,9
tt0193887,5.8,79
tt0193889,4.6,13
tt0193890,5.8,119
tt0193891,5.7,64
tt0193893,8.4,51
tt0193894,6.1,27
tt0193896,6.8,36
tt0193897,5.4,9
tt0193898,6.6,24
tt0193899,5.4,8
tt0193903,6.0,100
tt0193904,5.8,20
tt0193905,6.0,12
tt0193906,5.4,12
tt0193910,5.6,10
tt0193911,5.0,10
tt0193912,7.6,203
tt0193913,4.8,24
tt0193923,6.2,33
tt0193924,3.7,202
tt0193925,6.4,211
tt0193926,5.7,111
tt0193927,4.5,23
tt0193928,6.4,26
tt0193929,6.0,12
tt0193931,5.5,10
tt0193933,7.9,54
tt0193938,4.4,25
tt0193944,3.7,12
tt0193946,6.2,13
tt0193947,6.9,54
tt0193948,6.2,10
tt0193949,7.1,90
tt0193951,5.2,6
tt0193953,3.9,41
tt0193954,7.2,35
tt0193957,5.2,28
tt0193964,6.7,12
tt0193965,6.1,53
tt0193966,7.1,28
tt0193968,7.4,38
tt0193971,4.3,583
tt0193972,6.0,129
tt0193974,4.3,10
tt0193975,6.6,14
tt0193976,7.1,13
tt0193977,8.0,9
tt0193978,8.7,7
tt0193979,4.2,37
tt0193982,4.8,11
tt0193985,6.7,66
tt0193986,5.9,22
tt0193994,6.0,65
tt0193995,6.4,272
tt0193997,5.8,526
tt0193999,5.0,10
tt0194000,5.3,129
tt0194003,4.2,395
tt0194004,8.1,38
tt0194006,7.9,158
tt0194009,6.6,10
tt0194012,7.5,21
tt0194013,5.4,18
tt0194014,6.6,13
tt0194021,5.6,72
tt0194023,6.4,6
tt0194025,7.3,10
tt0194026,5.6,590
tt0194027,5.5,309
tt0194030,6.5,98
tt0194031,6.0,22
tt0194032,6.4,19
tt0194033,6.9,266
tt0194035,7.2,18
tt0194037,5.2,105
tt0194039,6.9,37
tt0194041,5.7,54
tt0194042,5.8,25
tt0194044,7.4,42
tt0194047,5.4,23
tt0194051,7.3,782
tt0194054,5.7,52
tt0194057,6.2,24
tt0194062,6.2,56
tt0194068,5.0,12
tt0194069,6.2,13
tt0194071,8.1,42
tt0194072,6.9,8
tt0194074,7.3,21
tt0194076,6.9,13
tt0194077,6.6,54
tt0194078,4.6,28
tt0194080,7.0,7
tt0194081,6.8,9
tt0194082,6.7,137
tt0194085,7.3,7
tt0194087,6.9,65
tt0194088,4.5,10
tt0194089,8.3,11
tt0194092,7.7,82
tt0194094,6.1,14
tt0194097,5.4,137
tt0194102,3.7,26
tt0194104,7.0,2971
tt0194106,8.5,10
tt0194108,5.4,22
tt0194109,5.1,174
tt0194113,7.2,125
tt0194115,5.3,21
tt0194117,5.2,30
tt0194118,8.3,19
tt0194119,5.8,375
tt0194120,6.0,125
tt0194123,5.7,16
tt0194125,6.2,49
tt0194129,6.8,138
tt0194132,4.8,14
tt0194136,6.8,33
tt0194137,7.2,24
tt0194138,8.0,127
tt0194139,6.5,17
tt0194140,1.7,16
tt0194141,5.7,50
tt0194142,8.3,17
tt0194143,4.9,768
tt0194146,3.9,273
tt0194148,8.4,35
tt0194149,7.4,81
tt0194150,5.9,56
tt0194154,6.9,9
tt0194155,5.6,138
tt0194156,6.2,6
tt0194157,5.6,17
tt0194158,6.1,35
tt0194160,7.6,88
tt0194162,6.4,9
tt0194167,4.5,96
tt0194168,7.7,9
tt0194169,5.9,347
tt0194179,8.2,5
tt0194180,6.2,16
tt0194181,5.6,6
tt0194182,6.4,148
tt0194183,7.0,40
tt0194186,6.0,11
tt0194187,8.1,19
tt0194188,4.7,25
tt0194189,4.3,40
tt0194192,7.4,25
tt0194196,8.1,85
tt0194198,5.1,14
tt0194201,6.8,308
tt0194207,9.0,18
tt0194211,7.3,149
tt0194212,7.6,12
tt0194213,5.5,99
tt0194216,4.9,12
tt0194217,5.5,13
tt0194218,6.7,8864
tt0194222,5.8,10
tt0194227,7.3,36
tt0194229,3.9,14
tt0194230,7.1,20
tt0194234,7.8,326
tt0194237,6.9,15
tt0194243,6.4,48
tt0194246,5.6,37
tt0194247,9.0,11
tt0194248,5.9,192
tt0194250,7.7,12
tt0194251,4.5,91
tt0194252,6.7,43
tt0194253,6.1,12
tt0194255,7.1,49
tt0194256,5.2,192
tt0194262,6.3,43
tt0194267,6.4,32
tt0194268,6.6,248
tt0194270,4.5,11
tt0194273,7.9,42
tt0194274,8.5,12
tt0194275,4.2,24
tt0194276,6.8,29
tt0194278,7.4,340
tt0194279,6.8,68
tt0194282,6.3,54
tt0194283,4.1,201
tt0194284,7.0,47
tt0194286,7.2,7
tt0194293,5.8,18
tt0194297,5.9,18
tt0194299,7.4,266
tt0194300,6.7,48
tt0194307,7.6,6
tt0194310,3.9,111
tt0194313,5.8,13
tt0194314,5.2,11562
tt0194315,4.7,10
tt0194319,6.2,7
tt0194321,8.5,18
tt0194322,8.0,36
tt0194323,7.9,101
tt0194325,6.9,37
tt0194326,6.5,121
tt0194328,6.1,17
tt0194329,6.9,37
tt0194332,6.7,65
tt0194333,4.4,36
tt0194334,7.6,22
tt0194335,7.2,12
tt0194337,6.9,161
tt0194340,5.8,108
tt0194342,5.8,537
tt0194343,6.9,26
tt0194345,7.8,19
tt0194346,3.9,29
tt0194347,7.0,22
tt0194350,7.0,586
tt0194352,6.2,36
tt0194353,6.4,119
tt0194354,6.2,22
tt0194355,6.4,6
tt0194356,6.2,84
tt0194357,8.8,26
tt0194359,5.5,27
tt0194367,6.0,53
tt0194368,6.0,4225
tt0194369,7.6,46
tt0194370,5.8,21
tt0194372,6.1,22
tt0194373,6.4,28
tt0194375,5.4,10
tt0194376,9.0,6020
tt0194378,6.8,1412
tt0194381,6.6,24
tt0194382,6.5,24
tt0194385,7.6,88
tt0194386,3.1,25
tt0194391,6.2,26
tt0194394,6.3,9
tt0194395,4.4,64
tt0194402,4.9,34
tt0194404,6.4,70
tt0194405,6.2,12
tt0194409,8.7,9
tt0194410,4.2,448
tt0194411,7.0,10
tt0194413,6.8,98
tt0194415,6.7,48
tt0194416,7.6,13
tt0194419,5.8,9
tt0194421,7.8,21
tt0194422,6.1,3156
tt0194423,7.6,56
tt0194425,6.9,127
tt0194426,7.6,1186
tt0194432,5.6,94
tt0194433,5.9,140
tt0194435,8.4,29
tt0194436,7.5,54
tt0194437,7.4,27
tt0194438,8.4,17
tt0194439,7.5,32
tt0194441,7.3,44
tt0194445,3.3,157
tt0194447,5.6,27
tt0194454,5.8,23
tt0194455,6.9,14
tt0194456,7.6,16
tt0194457,6.2,282
tt0194459,3.1,27
tt0194460,6.4,7
tt0194462,7.2,25
tt0194463,7.2,55
tt0194464,5.5,15
tt0194465,7.4,8
tt0194467,7.6,82
tt0194470,5.5,10
tt0194474,6.9,21
tt0194476,7.1,27
tt0194480,4.0,29
tt0194482,5.7,84
tt0194483,5.8,27
tt0194484,6.8,95
tt0194487,5.1,11
tt0194490,6.8,11
tt0194491,6.7,9
tt0194493,8.4,17
tt0194494,6.4,38
tt0194496,5.3,32
tt0194497,6.1,177
tt0194500,5.3,11
tt0194501,7.0,148
tt0194502,5.3,49
tt0194504,5.0,11
tt0194505,4.8,8
tt0194506,5.6,22
tt0194507,7.0,15
tt0194508,4.6,28
tt0194509,6.3,13
tt0194511,7.9,34
tt0194512,3.6,34
tt0194514,7.1,61
tt0194515,4.9,39
tt0194516,6.6,57
tt0194517,7.3,7
tt0194518,7.1,15
tt0194519,6.7,376
tt0194523,7.3,205
tt0194525,8.1,12
tt0194526,7.6,11
tt0194530,6.4,1263
tt0194536,5.8,18
tt0194537,6.4,11
tt0194540,6.3,16
tt0194541,5.8,125
tt0194543,4.5,865
tt0194544,6.2,18
tt0194547,7.1,27
tt0194549,6.6,154
tt0194553,7.0,236
tt0194554,6.2,63
tt0194558,6.2,53
tt0194565,6.4,9
tt0194566,6.2,8
tt0194572,8.1,141
tt0194573,5.7,9
tt0194580,8.5,78
tt0194584,5.7,10
tt0194585,8.8,18
tt0194587,9.2,8
tt0194588,4.6,49
tt0194590,7.6,20
tt0194593,8.8,16
tt0194594,7.6,12
tt0194595,6.4,7
tt0194596,7.6,13
tt0194597,6.7,191
tt0194598,6.4,15
tt0194599,7.8,79
tt0194600,6.8,9
tt0194605,7.3,741
tt0194606,4.6,16
tt0194608,7.6,758
tt0194609,7.0,27
tt0194610,7.6,32
tt0194611,7.9,36
tt0194612,7.3,11
tt0194613,8.7,53
tt0194616,6.6,314
tt0194617,5.9,27
tt0194619,5.1,8
tt0194621,6.7,21
tt0194622,6.0,1067
tt0194624,8.1,6392
tt0194625,5.6,143
tt0194626,7.0,9
tt0194627,8.1,94
tt0194628,6.2,41
tt0194629,6.9,11
tt0194630,6.3,32
tt0194631,7.0,26
tt0194634,6.2,54
tt0194635,6.0,158
tt0194638,7.8,15
tt0194640,6.5,84
tt0194641,6.1,57
tt0194642,4.2,12
tt0194645,6.2,45
tt0194649,6.9,35
tt0194650,4.5,16
tt0194653,5.5,13
tt0194654,7.2,9
tt0194656,8.0,16
tt0194657,8.0,117
tt0194658,5.8,8
tt0194660,6.0,8
tt0194662,5.5,61
tt0194664,3.7,80
tt0194666,6.7,78
tt0194668,4.6,60
tt0194669,6.3,41
tt0194671,7.5,8
tt0194672,6.4,14
tt0194674,7.8,27
tt0194676,4.0,11
tt0194677,7.1,10
tt0194679,6.4,15
tt0194680,5.0,51
tt0194681,2.2,18
tt0194682,6.3,21
tt0194683,6.0,60
tt0194685,6.7,24
tt0194686,5.4,9
tt0194690,5.6,12
tt0194696,6.0,10
tt0194697,8.5,37
tt0194699,4.8,37
tt0194700,6.7,12
tt0194701,5.1,12
tt0194704,6.8,42
tt0194708,6.7,12
tt0194709,6.3,17
tt0194710,6.4,392
tt0194712,6.0,30
tt0194716,5.4,43
tt0194717,6.0,82
tt0194718,4.7,31
tt0194722,4.6,2918
tt0194724,8.8,47
tt0194727,5.0,78
tt0194729,6.5,11
tt0194730,6.5,21
tt0194735,6.3,12
tt0194738,5.0,40
tt0194739,4.0,9
tt0194741,6.6,90
tt0194742,7.3,9
tt0194743,6.9,9
tt0194747,5.1,68
tt0194748,4.4,280
tt0194749,4.7,15
tt0194750,5.1,16
tt0194751,8.8,6
tt0194752,6.3,42
tt0194753,6.2,12
tt0194755,5.2,113
tt0194759,7.7,13
tt0194762,3.9,13
tt0194764,5.2,58
tt0194766,6.7,56
