tconst,averagerating,numvotes
tt0042071,4.8,12
tt0202968,6.0,7
tt0228194,4.6,29
tt0228196,4.1,177
tt0228197,4.7,57
tt0228198,4.3,89
tt0228199,4.9,181
tt0228202,7.9,18
tt0228203,6.9,12
tt0228204,5.5,8
tt0228205,5.5,29
tt0228206,4.6,16
tt0228208,4.8,23
tt0228213,4.1,12
tt0228214,7.4,10
tt0228215,5.0,7
tt0228217,7.8,1553
tt0228218,5.2,27
tt0228219,5.9,415
tt0228220,4.6,143
tt0228227,5.8,9
tt0228228,6.7,10
tt0228229,6.5,34
tt0228232,6.8,23
tt0228234,7.2,8
tt0228236,6.7,7
tt0228237,3.1,193
tt0228239,6.6,276
tt0228240,6.0,29
tt0228241,6.5,7
tt0228242,6.9,1836
tt0228243,6.0,32
tt0228246,8.4,3357
tt0228247,4.7,8
tt0228251,6.4,20
tt0228253,4.5,30
tt0228254,6.5,97
tt0228255,5.8,473
tt0228256,3.9,37
tt0228259,8.0,9
tt0228260,7.7,19
tt0228261,6.8,14
tt0228262,6.2,18
tt0228264,6.3,15
tt0228265,7.0,40
tt0228266,2.4,16
tt0228267,3.8,13
tt0228270,3.2,153
tt0228272,6.3,14
tt0228273,6.3,25
tt0228275,7.7,21
tt0228277,6.1,790
tt0228278,5.9,21
tt0228279,6.2,6
tt0228282,5.7,60
tt0228283,3.3,14
tt0228286,3.9,24
tt0228287,8.0,41
tt0228292,5.8,65
tt0228293,4.8,19
tt0228294,7.0,23
tt0228296,6.3,11
tt0228298,6.7,7
tt0228299,5.0,73
tt0228300,6.6,20
tt0228301,5.3,590
tt0228303,3.4,58
tt0228305,4.2,8
tt0228306,7.7,384
tt0228308,6.3,71
tt0228312,4.4,17
tt0228317,6.0,5
tt0228319,8.5,12
tt0228320,6.7,41
tt0228321,6.5,12
tt0228325,4.5,17
tt0228326,4.5,10
tt0228328,3.6,21
tt0228329,6.5,18
tt0228331,4.4,121
tt0228332,8.3,399
tt0228333,4.9,56463
tt0228336,6.0,26
tt0228338,7.3,20
tt0228340,5.6,36
tt0228342,6.1,15
tt0228344,6.0,78
tt0228345,5.1,12
tt0228349,3.8,38
tt0228351,5.9,693
tt0228354,7.2,14
tt0228357,8.6,17
tt0228359,4.0,18
tt0228360,5.3,118
tt0228361,5.3,130
tt0228362,4.9,180
tt0228363,7.3,48
tt0228364,7.4,47
tt0228365,7.0,45
tt0228367,5.9,24
tt0228368,7.4,32
tt0228373,6.2,13
tt0228374,8.1,85
tt0228375,7.0,8
tt0228376,6.9,12
tt0228377,5.8,8
tt0228379,7.3,16
tt0228380,5.3,27
tt0228391,4.0,14
tt0228392,7.6,129
tt0228394,5.5,159
tt0228395,6.6,14
tt0228397,6.0,503
tt0228398,4.4,11
tt0228406,6.6,163
tt0228408,4.8,12
tt0228412,4.7,18
tt0228413,6.6,66
tt0228415,8.6,58
tt0228416,5.9,19
tt0228418,5.2,152
tt0228419,5.8,601
tt0228425,7.1,161
tt0228429,5.5,9
tt0228430,6.7,8
tt0228431,7.5,72
tt0228432,7.1,10
tt0228433,6.3,32
tt0228434,8.3,77
tt0228435,6.6,53
tt0228436,4.9,11
tt0228437,4.8,50
tt0228438,3.6,127
tt0228441,6.0,11
tt0228445,5.6,83
tt0228446,8.6,83
tt0228447,5.7,189
tt0228448,5.9,13
tt0228449,8.4,17
tt0228453,6.8,71
tt0228454,6.8,32
tt0228456,6.5,806
tt0228457,6.2,512
tt0228459,5.6,131
tt0228460,6.4,121
tt0228461,5.1,136
tt0228463,6.9,216
tt0228464,4.1,14
tt0228465,5.2,11
tt0228468,4.3,6
tt0228475,6.0,34
tt0228476,4.4,7
tt0228477,6.8,78
tt0228478,4.7,12
tt0228479,8.5,6
tt0228481,7.0,17
tt0228482,7.0,34
tt0228484,7.8,6
tt0228486,4.9,432
tt0228487,7.7,47
tt0228488,6.2,2023
tt0228490,5.8,23
tt0228491,7.0,10
tt0228493,5.6,86
tt0228494,6.1,27
tt0228495,9.1,101
tt0228496,4.6,9
tt0228497,6.3,93
tt0228498,6.9,215
tt0228499,7.3,188
tt0228501,5.6,143
tt0228502,6.0,242
tt0228503,7.8,20
tt0228504,7.2,7
tt0228506,5.2,5
tt0228507,7.2,8
tt0228508,4.9,442
tt0228509,7.3,11
tt0228514,8.3,14
tt0228516,3.6,16
tt0228518,6.2,25
tt0228523,6.4,63
tt0228524,7.0,76
tt0228525,7.5,25
tt0228526,6.5,28
tt0228528,6.7,969
tt0228530,7.7,7
tt0228536,5.9,538
tt0228537,5.1,12
tt0228539,7.3,12
tt0228543,6.6,77
tt0228544,6.1,123
tt0228545,6.8,12
tt0228546,6.2,7
tt0228550,5.7,198
tt0228552,6.3,17
tt0228555,5.4,32
tt0228556,5.5,46
tt0228557,6.9,15
tt0228562,6.4,110
tt0228565,4.4,15
tt0228570,5.4,11
tt0228571,5.5,22
tt0228575,7.9,18
tt0228577,4.9,90
tt0228583,5.9,30
tt0228584,5.6,30
tt0228585,6.7,37
tt0228586,4.8,5
tt0228587,4.5,9
tt0228590,7.4,137
tt0228595,6.2,35
tt0228596,4.9,45
tt0228597,7.0,12
tt0228603,4.3,17
tt0228605,6.6,6
tt0228606,7.6,7
tt0228610,4.2,33
tt0228615,6.2,34
tt0228616,5.8,18
tt0228617,5.8,20
tt0228618,8.0,13
