tconst,averagerating,numvotes
tt0019870,6.8,15
tt0073175,8.0,6
tt0101471,6.8,10
tt0153552,5.0,9
tt0184895,5.8,7
tt0187117,3.2,9
tt0195438,5.8,7
tt0245750,5.8,12
tt0245751,5.2,46
tt0245755,7.1,484
tt0245757,5.8,16
tt0245759,3.7,20
tt0245760,7.4,12
tt0245761,5.2,15
tt0245764,5.3,62
tt0245767,6.4,78
tt0245768,4.6,132
tt0245769,5.5,16
tt0245771,5.0,27
tt0245772,7.6,62
tt0245775,6.3,14
tt0245776,5.1,367
tt0245783,6.7,9
tt0245785,6.2,13
tt0245786,6.5,17
tt0245788,6.5,111
tt0245792,6.6,31
tt0245794,6.3,57
tt0245796,6.9,14
tt0245799,5.8,101
tt0245803,5.4,51474
tt0245806,6.2,59
tt0245807,8.4,12
tt0245809,6.5,85
tt0245810,6.5,65
tt0245811,5.8,30
tt0245813,5.0,26
tt0245814,3.1,691
tt0245824,8.2,102
tt0245825,4.7,3514
tt0245826,8.1,479
tt0245827,5.4,29
tt0245828,6.4,20
tt0245829,8.3,621
tt0245830,8.0,101
tt0245832,8.7,42
tt0245833,7.7,44
tt0245834,6.9,316
tt0245835,7.1,479
tt0245836,7.1,42
tt0245837,7.1,1765
tt0245840,8.3,23
tt0245841,3.2,10
tt0245842,4.9,9
tt0245844,7.7,144353
tt0245846,6.6,19
tt0245848,6.9,16
tt0245849,7.4,16
tt0245850,4.3,328
tt0245851,6.5,18
tt0245852,8.6,44
tt0245854,4.2,8
tt0245855,6.2,38
tt0245856,7.1,30
tt0245857,6.2,154
tt0245858,7.7,83
tt0245860,7.1,87
tt0245862,7.2,56
tt0245863,5.9,149
tt0245865,5.2,29
tt0245866,3.4,1035
tt0245870,7.2,67
tt0245871,7.4,111
tt0245872,7.4,92
tt0245873,6.2,110
tt0245874,4.9,9
tt0245877,5.4,499
tt0245881,4.6,20
tt0245882,5.4,18
tt0245883,6.0,7
tt0245891,5.7,1336
tt0245892,6.1,368
tt0245896,6.6,64
tt0245900,6.6,76
tt0245901,3.9,303
tt0245903,5.9,132
tt0245904,5.2,95
tt0245905,4.5,127
tt0245906,4.6,22
tt0245907,7.5,18
tt0245908,5.6,6
tt0245910,7.4,3728
tt0245911,7.9,776
tt0245914,3.4,19
tt0245916,6.0,68
tt0245917,7.5,553
tt0245918,4.2,283
tt0245920,5.6,158
tt0245922,4.8,22
tt0245924,7.0,56
tt0245928,7.3,21
tt0245929,8.2,8280
tt0245931,6.2,9
tt0245932,4.8,122
tt0245934,5.0,46
tt0245935,5.4,15
tt0245936,7.2,18
tt0245941,6.0,29
tt0245942,6.3,42
tt0245943,1.4,1324
tt0245944,6.3,376
tt0245947,6.2,101
tt0245959,5.3,36
tt0245961,5.2,225
tt0245962,6.3,15
tt0245967,6.7,131
tt0245970,7.9,13
tt0245972,8.1,97
tt0245974,6.8,29
tt0245977,6.1,64
tt0245978,7.9,118
tt0245979,6.7,13
tt0245980,7.2,70
tt0245981,6.1,119
tt0245982,5.7,110
tt0245983,5.3,212
tt0245985,7.5,66
tt0245990,6.1,91
tt0245994,7.0,59
tt0245995,7.2,52
tt0245997,7.5,492
tt0245998,6.6,324
tt0246000,4.0,373
tt0246002,5.5,2371
tt0246003,8.4,53
tt0246005,6.9,851
tt0246007,7.1,425
tt0246008,7.2,345
tt0246009,6.4,325
tt0246010,6.9,22
tt0246011,8.4,50
tt0246012,8.0,43
tt0246013,7.6,55
tt0246014,7.6,52
tt0246015,7.8,52
tt0246016,7.3,53
tt0246017,7.5,58
tt0246018,7.5,55
tt0246019,7.6,47
tt0246020,7.6,57
tt0246021,6.7,7
tt0246023,6.7,22
tt0246027,5.5,12
tt0246032,6.0,304
tt0246033,5.9,21
tt0246037,6.2,415
tt0246044,5.9,81
tt0246046,6.2,30
tt0246047,3.5,26
tt0246049,6.7,8
tt0246052,7.1,51
tt0246053,6.9,40
tt0246054,8.9,13
tt0246057,5.8,46
tt0246059,4.9,10
tt0246062,8.0,116
tt0246063,4.4,286
tt0246064,7.4,74
tt0246066,5.9,9
tt0246070,6.8,342
tt0246071,5.8,124
tt0246072,6.4,894
tt0246073,5.7,115
tt0246074,5.5,21
tt0246075,4.1,51
tt0246076,6.4,15
tt0246077,5.8,125
tt0246078,9.0,16
tt0246080,8.0,9
tt0246081,7.0,18
tt0246082,5.2,15
tt0246083,6.6,21
tt0246086,4.4,14
tt0246089,4.5,31
tt0246090,6.2,176
tt0246091,5.5,17
tt0246095,7.1,389
tt0246098,8.2,75
tt0246103,6.3,28
tt0246106,8.5,97
tt0246108,4.3,417
tt0246109,7.2,32
tt0246114,6.5,47
tt0246115,5.8,10
tt0246117,7.3,11
tt0246119,7.1,1234
tt0246124,4.1,128
tt0246130,6.7,25
tt0246134,6.2,2255
tt0246135,7.5,1472
tt0246136,7.0,7
tt0246137,6.3,20
tt0246140,6.6,8
tt0246141,6.2,12
tt0246143,6.9,8
tt0246144,7.8,403
tt0246145,7.7,92
tt0246146,5.9,80
tt0246147,7.5,61
tt0246149,5.6,16
tt0246154,6.2,39
tt0246156,6.2,23
tt0246157,4.6,185
tt0246158,6.3,827
tt0246159,7.3,115
tt0246162,8.1,46
tt0246163,7.0,6
tt0246164,5.1,11
tt0246165,6.2,12
tt0246166,5.6,15
tt0246169,6.3,13
tt0246170,5.6,10
tt0246171,6.9,13
tt0246175,6.2,45
tt0246176,6.8,23
tt0246177,7.4,101
tt0246180,4.0,175
tt0246182,6.1,37
tt0246183,5.1,11
tt0246184,6.7,132
tt0246185,5.6,30
tt0246186,7.6,108
tt0246187,6.0,11
tt0246188,6.8,36
tt0246189,8.2,14
tt0246190,6.9,55
tt0246197,7.6,11
tt0246198,4.9,130
tt0246199,6.4,52
tt0246200,7.7,8
tt0246202,6.8,21
tt0246203,7.3,216
tt0246204,6.6,86
tt0246205,6.3,28
tt0246206,7.0,46
tt0246207,7.4,35
tt0246208,6.0,13
tt0246212,5.3,22
tt0246213,7.0,30
tt0246215,8.5,43
tt0246218,7.4,12
tt0246226,6.5,105
tt0246228,5.0,531
tt0246229,4.3,18
tt0246230,7.2,29
tt0246231,5.1,148
tt0246232,7.5,7
tt0246233,6.1,16
tt0246234,6.4,21
tt0246235,5.5,17
tt0246237,5.9,17
tt0246238,6.7,10
tt0246240,6.5,370
tt0246241,5.4,25
tt0246249,7.8,27
tt0246251,8.5,46
tt0246252,5.2,14
tt0246253,8.2,254
tt0246254,6.4,120
tt0246255,6.4,78
tt0246258,7.8,243
tt0246260,7.9,16
tt0246261,6.7,117
tt0246262,8.4,626
tt0246265,8.8,34
tt0246266,6.8,2845
tt0246267,5.6,9
tt0246268,7.0,96
tt0246269,4.5,14
