tconst,averagerating,numvotes
tt0014635,9.0,7
tt0022766,5.2,7
tt0023618,6.8,8
tt0143347,8.4,7
tt0150372,5.6,8
tt0344498,6.4,9
tt0401811,4.9,47
tt0401813,7.7,99
tt0401815,5.0,10733
tt0401816,7.2,15
tt0401817,6.0,51
tt0401819,7.0,8
tt0401820,7.0,12
tt0401821,6.9,50
tt0401824,6.1,22
tt0401828,6.1,27
tt0401831,6.8,66
tt0401832,6.6,35
tt0401833,8.2,23
tt0401834,7.6,31
tt0401835,8.4,14
tt0401836,5.0,104
tt0401841,5.9,25
tt0401843,6.5,330
tt0401845,8.0,39
tt0401846,7.6,30
tt0401849,5.8,25
tt0401851,8.6,342
tt0401853,4.2,11
tt0401855,6.7,205811
tt0401863,6.0,17
tt0401869,4.6,6
tt0401871,6.8,23
tt0401873,6.3,16
tt0401875,7.7,16
tt0401881,7.2,67
tt0401883,8.0,27
tt0401886,7.2,199
tt0401887,6.2,73
tt0401889,6.2,26
tt0401890,7.6,11
tt0401893,7.2,17
tt0401898,7.9,29
tt0401899,7.2,30
tt0401902,5.2,11
tt0401903,5.9,38
tt0401905,5.4,30
tt0401907,7.9,89
tt0401910,6.7,27
tt0401913,3.1,31
tt0401914,6.9,65
tt0401915,9.4,15
tt0401916,6.9,4069
tt0401918,5.2,41
tt0401921,8.0,41
tt0401922,6.2,49
tt0401923,8.1,46
tt0401924,6.5,24
tt0401926,6.9,25
tt0401928,8.0,165
tt0401929,7.4,18
tt0401930,4.0,133
tt0401933,6.5,1135
tt0401934,7.3,257
tt0401937,8.0,54
tt0401938,8.1,102
tt0401942,3.4,29
tt0401946,5.1,183
tt0401947,7.9,26
tt0401949,5.6,226
tt0401951,7.2,8
tt0401952,6.0,30
tt0401953,2.9,113
tt0401954,6.1,44
tt0401956,5.0,15
tt0401957,7.3,11
tt0401958,8.5,6
tt0401960,6.3,16
tt0401961,9.1,21
tt0401964,7.3,21
tt0401965,8.2,6
tt0401967,8.8,6
tt0401969,5.9,200
tt0401972,9.0,6
tt0401974,6.8,14
tt0401983,7.3,48
tt0401984,7.5,781
tt0401986,7.1,19
tt0401991,8.5,15
tt0401995,7.9,1919
tt0401997,7.0,61069
tt0401998,2.8,180
tt0401999,4.1,42
tt0402000,3.7,74
tt0402002,7.6,15
tt0402003,6.3,118
tt0402005,8.5,118
tt0402006,8.2,141
tt0402007,8.0,109
tt0402010,8.8,116
tt0402011,6.1,111
tt0402012,5.5,102
tt0402013,6.5,92
tt0402014,7.8,9132
tt0402016,6.2,159
tt0402017,2.9,8
tt0402018,5.5,18
tt0402020,8.0,12
