tconst,averagerating,numvotes
tt0031866,7.6,10
tt0041150,5.6,12
tt0161157,9.7,10
tt0192558,5.6,9
tt0282201,5.4,8
tt0364068,7.6,7
tt0367223,2.5,8
tt0367232,5.4,2364
tt0367235,7.6,12
tt0367236,6.4,33
tt0367240,6.8,68
tt0367242,7.5,13
tt0367243,3.9,33
tt0367245,4.1,1108
tt0367246,7.8,24
tt0367247,6.9,20
tt0367248,6.6,21
tt0367251,6.6,113
tt0367252,6.2,61
tt0367255,6.4,195
tt0367257,5.9,297
tt0367258,7.3,33
tt0367259,6.9,9
tt0367260,8.5,16
tt0367261,4.8,20
tt0367263,6.2,121
tt0367264,7.3,9
tt0367266,8.0,24
tt0367270,6.3,11
tt0367271,6.3,15
tt0367272,4.5,7
tt0367273,5.5,41
tt0367275,8.5,31
tt0367276,6.6,109
tt0367278,3.5,187
tt0367279,8.7,316249
tt0367280,7.7,21
tt0367281,6.9,91
tt0367282,8.2,12
tt0367284,8.5,16
tt0367288,6.6,270
tt0367290,2.8,15
tt0367291,3.3,30
tt0367292,8.5,18
tt0367293,7.6,14
tt0367294,5.5,45
tt0367295,7.0,153
tt0367296,7.9,30
tt0367298,6.7,92
tt0367300,5.9,12
tt0367302,6.5,77
tt0367304,7.1,22
tt0367305,8.0,57
tt0367307,7.3,74
tt0367308,6.8,12
tt0367313,6.4,221
tt0367314,7.7,10
tt0367317,7.8,20
tt0367319,5.6,106
tt0367320,3.1,82
tt0367321,3.0,8
tt0367322,7.3,18
tt0367323,3.5,34
tt0367324,6.8,160
tt0367325,7.9,57
tt0367326,7.7,10
tt0367330,6.5,16
tt0367331,4.8,8
tt0367334,6.9,26
tt0367335,8.1,77
tt0367336,8.1,97
tt0367338,8.5,25
tt0367340,6.3,11
tt0367342,7.5,13
tt0367344,6.7,3731
tt0367345,7.1,9346
tt0367347,9.1,163
tt0367349,8.2,11
tt0367350,4.8,9
tt0367353,3.4,11
tt0367356,5.5,10
tt0367357,5.6,71
tt0367358,7.4,1112
tt0367359,7.1,24
tt0367360,6.7,455
tt0367362,1.7,23
tt0367363,5.5,72
tt0367365,6.7,10
tt0367367,6.1,2788
tt0367368,7.4,34
tt0367369,6.8,961
tt0367371,5.0,85
tt0367375,7.4,6
tt0367378,3.4,10
tt0367379,6.4,1249
tt0367380,8.3,957
tt0367381,6.4,22
tt0367382,4.1,7
tt0367385,7.5,166
tt0367386,6.8,43
tt0367387,6.5,14
tt0367390,7.9,20
tt0367391,6.2,27
tt0367392,6.7,35
tt0367393,7.8,15
tt0367394,6.7,28
tt0367395,5.5,8
tt0367396,7.1,49
tt0367397,7.9,42
tt0367400,7.3,8
tt0367401,6.3,18
tt0367402,3.4,26
tt0367403,4.2,537
tt0367404,6.4,21
tt0367405,6.4,13
tt0367406,6.0,7
tt0367409,8.0,6279
tt0367413,6.2,5225
tt0367414,7.5,63
tt0367415,8.3,20
tt0367418,8.5,104
tt0367419,5.4,21
tt0367422,5.0,23
tt0367423,6.8,18
tt0367424,6.5,926
tt0367425,5.7,12
tt0367426,7.5,8
tt0367428,8.3,59
tt0367430,6.7,80
tt0367435,6.5,37
tt0367438,6.9,62
tt0367439,7.9,8054
tt0367441,5.9,256
tt0367442,8.6,421
tt0367443,7.9,668
tt0367444,3.8,50
tt0367451,6.6,56
tt0367453,8.4,25
tt0367456,6.4,16
tt0367460,6.2,37
tt0367461,7.5,61
tt0367462,5.5,28
tt0367465,3.3,87
tt0367466,6.9,17
tt0367468,4.2,17
tt0367469,6.4,13
tt0367471,6.5,13
tt0367472,4.5,21
tt0367474,6.8,27
tt0367475,7.0,14
tt0367478,5.5,9883
tt0367479,6.2,48997
tt0367480,5.1,111
tt0367482,6.1,18
tt0367485,5.2,7
tt0367488,6.7,37
tt0367490,7.8,23
tt0367491,5.2,33
tt0367492,6.2,27
tt0367493,7.6,22
tt0367494,6.7,15
tt0367495,8.6,24385
tt0367497,6.4,19
tt0367498,7.5,11
tt0367499,6.0,50
tt0367500,7.1,12
tt0367501,8.4,2575
tt0367504,8.0,10
tt0367507,3.8,52
tt0367508,8.2,32
tt0367510,8.0,18
tt0367513,7.4,9
tt0367515,6.6,15
tt0367518,5.9,16
tt0367519,6.1,22
tt0367523,7.0,22
tt0367525,6.5,561
tt0367528,7.9,180
tt0367529,5.2,35
tt0367530,7.0,12
tt0367531,5.4,18
tt0367532,6.3,7
tt0367533,7.6,18
tt0367535,7.4,21
tt0367536,7.2,81
tt0367539,6.0,38
tt0367541,7.0,99
tt0367544,8.2,9
tt0367546,4.9,24
tt0367548,8.3,120
tt0367552,4.2,9
tt0367553,6.5,1329
tt0367555,8.4,11990
tt0367557,8.9,9
tt0367558,5.5,118
tt0367560,5.0,78
tt0367562,7.9,17
tt0367563,6.7,10
tt0367564,8.2,24
tt0367565,7.5,717
tt0367567,6.1,388
tt0367569,4.5,202
tt0367570,4.4,60
tt0367573,5.4,14
tt0367575,8.4,75
tt0367577,7.6,16
tt0367580,8.0,30
tt0367581,5.2,15
tt0367582,8.7,38
tt0367583,7.6,11
tt0367584,2.8,331
tt0367587,5.6,698
tt0367590,5.1,29
tt0367591,7.6,39
tt0367593,6.4,271
tt0367594,6.7,503897
tt0367595,6.4,72
tt0367596,3.4,7
tt0367598,6.1,33
tt0367600,7.0,33
tt0367602,5.9,619
tt0367605,4.4,53
tt0367606,4.6,40
tt0367608,3.7,200
tt0367610,6.4,10
tt0367611,6.5,11
tt0367612,5.7,51
tt0367613,8.8,17
tt0367615,8.3,226
tt0367616,7.0,57
tt0367617,7.7,17
tt0367619,5.7,19
tt0367620,5.8,24
tt0367621,8.2,18
tt0367622,9.8,11
tt0367623,2.7,3701
tt0367626,8.0,7
tt0367627,6.8,23
tt0367628,2.6,363
tt0367630,5.7,132
tt0367631,5.4,17018
tt0367632,8.7,30
tt0367634,5.8,18
tt0367635,4.3,19
tt0367639,4.2,32
tt0367641,9.1,30
tt0367643,6.6,19
tt0367646,8.4,22
tt0367647,5.7,8
tt0367649,5.8,13
tt0367652,4.7,52448
tt0367653,5.5,11
tt0367654,6.0,8
tt0367655,7.0,238
tt0367657,7.0,335
tt0367659,6.6,161
