tconst,averagerating,numvotes
tt0081251,6.8,8
tt0276979,6.8,6
tt0281061,9.6,8
tt0300297,5.8,6
tt0348582,7.0,16
tt0348583,4.4,34
tt0348585,8.4,58
tt0348587,7.2,40
tt0348590,5.0,23
tt0348591,6.5,2515
tt0348593,6.6,16009
tt0348595,7.5,17
tt0348596,7.7,65
tt0348601,6.2,29
tt0348603,7.2,18
tt0348608,6.1,46
tt0348611,4.7,21
tt0348620,5.0,15
tt0348624,7.4,25
tt0348625,7.8,9
tt0348629,6.6,103
tt0348637,8.1,22
tt0348641,6.4,15
tt0348643,6.9,33
tt0348644,4.8,56
tt0348646,7.0,10
tt0348648,7.6,86
tt0348651,7.9,25
tt0348656,4.2,1721
tt0348662,4.3,968
tt0348663,4.8,119
tt0348664,6.8,31
tt0348666,5.0,19
tt0348668,5.0,101
tt0348671,5.4,112
tt0348674,6.8,16
tt0348680,6.8,12
tt0348681,8.7,12
tt0348682,7.4,6
tt0348688,7.3,10
tt0348691,7.6,620
tt0348694,7.8,34
tt0348695,8.2,7
tt0348696,5.6,14
tt0348697,7.3,24
tt0348698,1.4,13
tt0348706,4.1,16
tt0348710,7.0,11
tt0348712,4.4,11
tt0348720,5.4,9
tt0348722,4.8,21
tt0348723,8.0,7
tt0348726,8.3,9
tt0348728,8.0,318
tt0348729,6.9,42
tt0348730,4.4,22
tt0348731,6.1,57
tt0348732,7.3,54
tt0348733,7.7,12
tt0348739,4.7,22
tt0348741,5.8,8
tt0348742,6.7,12
tt0348744,7.7,19
tt0348746,5.5,13
tt0348749,5.5,15
tt0348755,7.9,8
tt0348756,5.5,71
tt0348757,6.8,79
tt0348758,7.0,279
tt0348760,6.7,22
tt0348767,5.6,35
tt0348768,8.2,33
tt0348769,8.1,47
tt0348770,1.6,9
tt0348772,6.4,7
tt0348774,7.9,41
tt0348781,5.3,18
tt0348794,4.9,114
tt0348800,6.9,9
tt0348811,7.9,50
tt0348812,8.2,24
tt0348813,7.5,20
tt0348815,4.7,236
tt0348816,7.2,191
tt0348824,4.4,592
tt0348825,3.1,132
tt0348826,8.4,8
tt0348828,7.0,101
tt0348833,6.6,69
tt0348836,5.8,116674
tt0348839,7.2,82
tt0348841,5.3,771
tt0348843,5.3,2274
tt0348845,8.0,8
tt0348847,6.3,226
tt0348850,6.8,7
tt0348851,7.0,7
tt0348853,6.3,4868
tt0348855,4.2,52
tt0348857,8.7,9
tt0348860,3.6,15
tt0348864,6.3,23
tt0348866,7.4,84
tt0348867,6.4,561
tt0348869,5.5,19
tt0348870,7.6,17
tt0348872,6.3,25
tt0348873,6.7,22
tt0348874,6.6,157
tt0348875,7.5,57
tt0348876,6.3,256
tt0348878,6.5,75
tt0348881,7.0,7
tt0348883,5.2,11
tt0348884,6.6,542
tt0348885,7.7,81
tt0348888,5.4,15
tt0348890,5.3,35
tt0348892,7.5,129
tt0348893,7.5,133
tt0348894,3.4,5812
tt0348895,6.2,32
tt0348896,8.1,175
tt0348897,6.0,8
tt0348898,6.5,25
tt0348899,7.1,35
tt0348901,4.6,14
tt0348904,8.4,662
tt0348905,5.5,53
tt0348907,7.5,44
tt0348908,7.8,9
tt0348912,5.8,6
tt0348913,8.1,43127
tt0348914,8.6,113141
tt0348915,7.2,31
tt0348918,5.4,8
tt0348922,6.5,17
tt0348925,6.3,32
tt0348926,9.0,15
tt0348927,5.2,16
tt0348928,2.8,32
tt0348931,8.0,6
tt0348932,6.0,6
tt0348943,8.0,279
tt0348944,5.2,7
tt0348946,8.7,19
tt0348949,2.9,445
tt0348950,7.1,101
tt0348951,6.1,37
tt0348952,7.9,210
tt0348954,5.9,10
tt0348958,6.2,12
tt0348963,5.7,116
tt0348966,8.0,178
tt0348975,7.4,10
tt0348976,7.4,9
tt0348978,4.8,15
tt0348979,7.5,69
tt0348980,6.7,7
tt0348981,5.2,10
tt0348983,5.1,340
tt0348985,6.8,9
tt0348986,6.3,368
tt0348987,7.3,690
tt0348988,5.4,22
tt0348989,8.2,12
tt0348991,8.3,95
tt0348993,7.2,24
tt0348997,7.8,16
tt0348998,8.1,72
tt0348999,5.1,175
tt0349000,7.8,27
tt0349005,6.3,117
tt0349016,6.6,16
tt0349017,8.0,9
tt0349019,7.8,139
tt0349020,6.4,14
tt0349025,7.6,9
tt0349026,8.3,7
tt0349027,7.7,39
tt0349037,7.5,7
tt0349038,5.6,11
tt0349039,5.9,19
tt0349041,5.9,17
tt0349043,5.2,136
tt0349047,5.5,16326
tt0349048,6.2,246
tt0349049,8.4,40
tt0349050,5.4,35
tt0349052,5.0,9
tt0349053,4.7,61
tt0349054,7.1,25
tt0349055,6.7,218
tt0349057,6.0,343
tt0349058,4.6,77
tt0349060,5.8,10
tt0349061,6.6,9
tt0349063,2.3,156
tt0349064,6.1,10
tt0349066,6.2,10
tt0349067,5.8,101
tt0349069,5.5,8
tt0349070,5.3,165
tt0349072,3.7,14
tt0349076,6.2,938
tt0349077,7.3,46
tt0349079,6.2,608
tt0349080,4.3,2637
tt0349081,5.6,15
tt0349083,7.6,7
tt0349084,4.7,24
tt0349085,7.4,16
tt0349088,6.0,10
tt0349091,6.7,16
tt0349092,5.2,49
tt0349094,5.2,12
tt0349095,7.0,22
tt0349096,4.5,11
tt0349098,6.5,30
tt0349106,5.9,100
tt0349107,7.1,46
tt0349112,7.0,12
tt0349113,1.3,2076
tt0349115,3.4,398
tt0349116,7.3,632
tt0349122,6.3,100
tt0349124,7.1,14
tt0349131,4.4,122
tt0349133,5.1,300
tt0349134,7.9,40
tt0349135,7.6,200
tt0349136,8.3,467
tt0349137,5.8,114
tt0349139,4.8,40
tt0349147,6.8,26
tt0349150,7.8,9
tt0349154,6.8,752
tt0349155,4.3,134
tt0349157,7.9,19
tt0349158,8.5,17
tt0349159,3.1,521
tt0349162,8.5,13
tt0349164,6.7,10
tt0349166,8.6,2057
tt0349168,5.9,10
tt0349169,5.6,6292
tt0349170,7.3,17
tt0349175,5.6,15
tt0349176,6.6,28
tt0349177,6.6,7
tt0349180,6.6,42
tt0349183,6.1,11
tt0349189,5.9,99
tt0349190,4.4,9
tt0349191,6.0,8
tt0349193,2.5,789
tt0349194,7.4,31
tt0349198,3.0,26
tt0349199,6.1,11
tt0349201,6.2,45
tt0349202,6.5,28
tt0349204,6.9,14
tt0349205,5.9,106310
tt0349209,4.1,368
tt0349212,5.8,63
tt0349215,6.1,15
tt0349216,4.3,34
tt0349217,3.0,24
tt0349218,3.8,11
tt0349219,5.1,21
tt0349221,7.0,30
tt0349225,6.5,1854
tt0349231,7.0,9
tt0349232,4.1,19
tt0349238,7.2,38
tt0349241,5.3,23
tt0349243,5.2,51
tt0349247,7.4,11
tt0349248,5.4,289
tt0349249,7.5,99
tt0349250,5.8,11
tt0349260,6.0,2881
tt0349263,4.9,10
tt0349275,5.2,8
tt0349277,5.0,339
tt0349302,7.5,18
tt0349304,6.5,8
tt0349310,6.4,58
tt0349311,5.8,7
tt0349312,7.3,14
tt0349326,6.6,266
tt0349330,7.0,464
tt0349333,6.3,3715
tt0349336,7.3,207
tt0349340,6.1,1052
tt0349343,4.4,448
tt0349345,4.1,560
tt0349347,7.7,47
tt0349349,4.2,732
tt0349350,5.8,10
tt0349352,5.9,22
tt0349354,5.3,9
tt0349357,8.1,33
tt0349358,4.3,317
tt0349360,8.3,28
tt0349363,5.8,7
tt0349364,5.0,10
tt0349367,5.8,6
tt0349372,1.0,16
tt0349373,4.4,5
tt0349382,6.0,35
tt0349384,4.4,11
tt0349387,8.1,261
tt0349388,7.1,22
tt0349390,6.1,39
tt0349391,4.8,10
tt0349395,7.8,23
tt0349398,6.8,87
tt0349400,8.4,112
tt0349406,5.0,10
tt0349407,5.5,43
tt0349408,6.0,8
tt0349412,8.8,16
tt0349413,7.2,47
tt0349414,6.6,36
tt0349416,6.5,9176
tt0349422,6.8,35
tt0349423,5.8,11
tt0349424,7.2,27
tt0349425,4.9,34
tt0349427,5.9,17
tt0349428,6.3,22
tt0349436,4.8,20
tt0349438,4.6,14
tt0349439,7.4,6
tt0349444,5.2,15
tt0349449,7.8,97
tt0349453,7.4,154
tt0349457,6.1,17
tt0349458,7.6,20
tt0349462,6.7,58
tt0349465,4.8,35
tt0349466,8.3,26
tt0349467,5.1,16922
tt0349469,6.5,24
tt0349470,5.3,12
tt0349471,4.8,16
tt0349475,7.6,38
tt0349479,7.9,12
tt0349481,6.2,18
tt0349488,6.0,63
tt0349489,7.0,23
tt0349490,6.8,97
tt0349492,6.2,21
tt0349501,6.9,64
tt0349502,6.1,33
tt0349508,5.3,18
tt0349516,6.4,30
tt0349517,6.3,243
tt0349523,6.3,36
tt0349526,8.0,9
tt0349529,5.5,421
tt0349530,6.8,10
tt0349531,7.4,101
tt0349533,6.5,12
tt0349535,5.0,15
tt0349538,7.3,26
tt0349540,9.0,13
tt0349544,6.0,10
tt0349548,7.4,161
tt0349556,5.4,11
tt0349557,4.5,8
tt0349561,8.0,10
tt0349563,6.9,33
tt0349568,4.9,76
tt0349570,4.0,7
tt0349572,7.5,22
tt0349575,2.5,134
tt0349576,7.5,9
tt0349583,6.0,17
tt0349584,3.5,68
tt0349585,4.8,10
tt0349592,7.6,10
tt0349594,6.7,15
tt0349596,6.9,9
tt0349597,6.5,7
tt0349598,5.6,8
tt0349601,6.5,30
tt0349602,7.7,26
tt0349603,5.4,12
tt0349605,7.0,12
tt0349606,4.6,35
tt0349607,7.7,22
tt0349609,7.0,8
tt0349611,8.6,23
tt0349612,3.5,296
tt0349613,3.4,7
tt0349618,4.9,61
tt0349619,6.2,6
tt0349620,5.1,104
tt0349622,6.3,77
tt0349624,7.3,86
tt0349625,4.6,20
tt0349626,6.7,19
tt0349627,6.8,7
tt0349628,5.5,10
tt0349630,7.0,12
tt0349634,5.9,44
tt0349635,3.8,42
tt0349636,8.2,19
tt0349637,8.1,11
tt0349638,7.2,29
tt0349640,7.9,11
tt0349642,6.8,19
tt0349643,4.2,17
tt0349644,4.9,37
tt0349645,7.0,48
tt0349646,6.7,72
tt0349657,7.6,6
tt0349660,5.4,7
tt0349661,8.5,119
tt0349663,3.0,26
tt0349664,6.9,87
tt0349671,7.6,6
tt0349672,7.6,11
tt0349673,4.7,37
tt0349676,7.7,22
tt0349678,6.0,16
tt0349679,4.2,222
tt0349682,6.6,66
tt0349683,6.3,172779
tt0349684,5.5,100
tt0349686,6.4,125
tt0349688,6.4,182
tt0349689,4.0,14
tt0349691,6.7,1463
tt0349694,7.7,21
tt0349697,6.4,7
tt0349701,6.4,28
tt0349703,4.3,1867
tt0349710,6.5,58810
tt0349716,6.2,39
tt0349724,7.1,25
tt0349727,6.0,70
tt0349728,8.5,20
tt0349729,7.6,53
tt0349730,4.4,13
tt0349731,7.2,22
tt0349733,5.3,104
tt0349734,5.8,10
tt0349736,7.6,12
tt0349738,5.7,10
tt0349743,5.4,16
tt0349744,5.4,14
tt0349746,5.3,36
tt0349747,7.7,2047
tt0349748,6.1,13
tt0349752,6.1,654
tt0349761,4.4,106
tt0349762,3.7,203
tt0349763,6.9,12
tt0349765,8.2,38
tt0349768,7.7,15
tt0349771,7.2,64
tt0349772,7.2,65
tt0349773,6.7,129
tt0349774,6.0,47
tt0349775,5.7,55
tt0349776,6.9,100
tt0349780,6.0,6
tt0349781,7.0,13
tt0349785,7.6,11
tt0349788,5.3,26
tt0349789,7.3,39
tt0349790,7.9,18
tt0349792,7.0,10
tt0349799,6.3,8
tt0349800,8.1,19
tt0349804,3.5,305
tt0349805,5.3,7
tt0349809,6.7,63
tt0349815,5.3,80
tt0349818,8.4,905
tt0349821,7.4,20
tt0349822,2.0,44
tt0349824,7.7,10
tt0349825,7.4,57119
tt0349826,6.2,44
tt0349829,7.7,67
tt0349832,7.0,7
tt0349834,6.0,8
tt0349835,2.6,161
tt0349836,6.8,22
tt0349837,7.5,29
tt0349844,5.5,44
tt0349847,5.2,22
tt0349852,3.5,158
tt0349853,9.1,17
tt0349854,6.2,24
tt0349856,3.4,329
tt0349862,8.0,14
tt0349864,10.0,36
tt0349865,6.5,284
tt0349868,4.7,14
tt0349872,7.4,6
tt0349877,8.5,34
tt0349878,7.6,1325
tt0349880,4.9,468
tt0349882,7.3,77
tt0349885,6.7,65
tt0349889,4.9,5178
tt0349893,5.6,20
tt0349895,5.5,145
tt0349898,8.6,14
tt0349899,7.8,16
tt0349902,5.4,12
tt0349903,6.5,404285
tt0349904,6.4,12
tt0349905,4.9,9
tt0349907,5.8,12
tt0349924,5.6,16
tt0349925,4.8,85
tt0349926,5.0,17
tt0349928,6.4,28
tt0349929,3.0,7
tt0349930,2.8,45
tt0349933,6.7,13
tt0349934,7.8,101
tt0349935,6.8,6
tt0349936,8.3,7
tt0349938,7.7,14
tt0349941,8.5,35
tt0349944,5.0,20
tt0349947,3.0,6
tt0349948,7.2,26
tt0349949,6.1,15
tt0349951,6.6,24
tt0349956,6.9,16
tt0349957,5.8,14
tt0349959,5.3,32
tt0349964,6.7,13
tt0349966,4.3,9
tt0349969,4.0,19
tt0349971,5.9,11
tt0349973,4.9,33
tt0349975,6.2,13
tt0349977,7.9,19
tt0349979,6.5,21
tt0349981,4.6,50
tt0349988,3.5,10
tt0349993,7.5,42
tt0349995,6.7,1775
tt0349998,6.3,39
tt0350001,5.7,8
tt0350002,7.0,1047
tt0350003,4.5,74
tt0350005,7.5,44
tt0350018,4.8,13
tt0350022,2.6,550
tt0350027,6.6,57
tt0350028,6.0,37795
tt0350030,5.4,25
tt0350037,6.2,154
tt0350038,7.5,164
tt0350041,7.9,30
tt0350044,6.3,699
tt0350047,7.0,104
tt0350050,7.0,84
tt0350051,7.5,46
tt0350053,6.4,10
tt0350058,5.1,12
tt0350061,3.4,435
tt0350062,6.6,39
tt0350066,3.7,14
tt0350067,7.1,637
tt0350068,6.0,12
tt0350070,5.3,35
tt0350076,5.9,35
tt0350077,4.4,17
tt0350079,5.2,119
tt0350081,6.0,384
tt0350086,6.3,12
tt0350087,6.9,15
tt0350089,8.0,22
tt0350091,3.8,238
tt0350093,3.3,12
tt0350097,5.4,39
tt0350098,5.2,191
tt0350100,6.5,9
tt0350101,6.8,15
tt0350102,6.7,8
tt0350106,7.4,12
tt0350107,3.9,43
tt0350109,5.9,19
tt0350111,6.9,21
tt0350119,4.7,68
tt0350121,4.3,23
tt0350122,6.5,15
tt0350128,3.5,426
tt0350132,6.9,11
tt0350137,10.0,12
tt0350139,5.9,10
tt0350141,6.4,21
tt0350142,7.5,68
tt0350143,6.6,216
tt0350144,6.8,10
tt0350146,4.2,925
tt0350156,5.9,18
tt0350159,6.3,16
tt0350164,6.4,27
tt0350165,7.2,108
tt0350166,7.5,106
tt0350169,5.3,40
tt0350171,6.7,526
tt0350175,2.6,29
tt0350177,6.3,52
tt0350178,6.2,30
tt0350182,7.4,149
tt0350183,7.2,127
tt0350184,3.8,231
tt0350186,5.6,99
tt0350188,6.0,8
tt0350190,6.2,141
tt0350191,7.7,8
tt0350192,5.7,63
tt0350193,7.4,7334
tt0350194,5.7,1894
tt0350195,5.4,288
tt0350203,4.8,19
tt0350204,7.2,17
tt0350207,4.2,9
tt0350209,4.0,13
tt0350211,5.8,25
tt0350213,7.0,10
tt0350215,5.6,8
tt0350222,8.5,16
tt0350224,8.7,14
tt0350227,8.2,18
tt0350232,3.9,1606
tt0350234,8.2,47
tt0350238,7.0,9
tt0350239,5.7,13
tt0350240,8.1,14
tt0350244,7.2,11
tt0350246,6.9,55
tt0350250,6.3,11
tt0350251,6.5,10
tt0350257,5.5,30
tt0350258,7.7,153652
tt0350260,6.1,17
tt0350261,7.0,32465
tt0350278,5.1,49
tt0350279,3.3,223
tt0350280,4.7,25
tt0350282,5.7,16
tt0350287,6.0,48
tt0350290,5.1,45
tt0350296,5.4,26
tt0350300,7.6,17
tt0350305,6.5,28
tt0350308,5.5,25
tt0350313,8.7,13
tt0350319,7.9,16
tt0350324,6.4,282
tt0350325,7.1,11
tt0350333,7.0,10
tt0350334,7.2,33
tt0350337,7.8,7
tt0350342,6.8,39
tt0350343,6.9,20
tt0350354,8.0,44
tt0350357,2.7,41
tt0350369,5.8,21
tt0350370,2.9,390
tt0350371,7.4,47
tt0350373,6.1,312
tt0350374,6.2,252
tt0350377,5.9,40
tt0350380,7.7,44
tt0350382,7.7,54
tt0350384,4.9,287
tt0350385,7.4,14
tt0350386,7.7,63
tt0350390,7.4,28
tt0350392,3.4,18
tt0350395,8.2,204
tt0350396,8.2,376
tt0350403,2.8,31
tt0350405,7.3,40
tt0350407,8.5,22
tt0350409,4.9,69
tt0350410,8.4,8
tt0350411,7.6,23
tt0350412,6.0,9
tt0350413,8.2,84
tt0350415,4.9,242
tt0350418,7.9,47
tt0350419,5.4,6
tt0350420,3.5,44
tt0350421,5.6,9
tt0350422,3.8,20
tt0350429,7.0,10
tt0350430,3.5,15
tt0350432,4.5,17
tt0350433,7.2,7
tt0350435,7.0,101
tt0350436,8.2,151
tt0350437,3.6,91
tt0350439,7.8,105
tt0350440,6.9,9
tt0350441,8.4,17
tt0350445,6.4,11
tt0350446,9.3,13
tt0350448,7.4,14024
tt0350449,7.6,6
tt0350450,3.6,13
tt0350451,4.3,18
tt0350452,7.6,21
tt0350453,5.2,15
tt0350454,8.6,28
tt0350456,7.9,74
tt0350457,6.8,172
tt0350459,5.0,8
tt0350460,7.4,11
tt0350462,4.3,7
tt0350466,6.6,239
tt0350468,4.5,264
tt0350470,5.5,14
tt0350475,6.6,351
tt0350476,7.3,380
tt0350484,7.2,9
tt0350485,4.6,496
tt0350487,7.6,158
tt0350488,7.3,25
tt0350493,5.2,463
tt0350494,4.1,7
tt0350496,4.8,7
tt0350499,6.6,76
tt0350501,4.8,87
tt0350503,6.0,61
tt0350505,6.1,12
tt0350507,5.8,29
tt0350508,4.9,12
tt0350511,6.2,9
tt0350513,5.4,91
tt0350515,7.8,18
tt0350516,6.1,26
tt0350523,7.8,19
tt0350525,7.4,10
tt0350526,5.9,25
tt0350528,4.4,5
tt0350541,6.5,51
tt0350542,4.7,10
tt0350543,7.1,16
tt0350544,3.1,26
tt0350554,7.4,11
tt0350557,6.8,30
tt0350562,7.2,23
tt0350565,4.7,145
tt0350570,7.1,15
tt0350571,5.4,8
tt0350574,7.2,23
