tconst,averagerating,numvotes
tt0033255,8.4,10
tt0043836,7.6,8
tt0139897,5.4,7
tt0148139,4.6,5
tt0230151,6.4,6
tt0333684,5.4,8
tt0390164,5.8,11
tt0413232,4.6,14
tt0451870,5.6,8
tt0460355,7.6,15
tt0460356,5.8,5
tt0460357,7.4,8
tt0460361,4.1,11
tt0460363,7.3,17
tt0460364,7.6,39
tt0460365,3.7,68
tt0460370,7.5,39
tt0460371,5.8,8
tt0460376,8.3,56
tt0460379,8.2,374
tt0460380,3.1,24
tt0460381,2.5,13
tt0460382,6.3,18
tt0460384,6.7,57
tt0460387,7.5,22
tt0460390,7.9,13
tt0460391,8.4,14
tt0460392,7.3,51
tt0460394,8.0,1530
tt0460396,7.4,14
tt0460400,5.6,424
tt0460401,7.3,1236
tt0460402,8.3,345
tt0460403,6.2,5
tt0460404,7.8,9
tt0460405,6.3,102
tt0460406,7.6,12
tt0460407,7.6,9
tt0460408,8.6,14
tt0460409,7.1,26
tt0460411,5.6,560
tt0460412,7.3,12
tt0460413,7.6,12
tt0460414,6.7,7
tt0460415,8.0,29
tt0460416,6.2,36
tt0460417,4.8,65
tt0460419,6.6,35
tt0460421,7.4,12
tt0460423,6.1,18
tt0460427,6.8,89
tt0460431,4.2,65
tt0460432,5.6,11
tt0460433,6.9,13
tt0460435,4.3,2705
tt0460438,4.7,7
tt0460440,7.3,6
tt0460441,8.2,29
tt0460442,9.0,6
tt0460443,5.9,149
tt0460445,6.5,193
tt0460449,8.4,6
tt0460450,6.0,16
tt0460451,7.7,7
tt0460452,5.9,163
tt0460453,6.9,21
tt0460454,8.0,12
tt0460455,8.2,8
tt0460457,6.5,20
tt0460458,6.5,9
tt0460459,8.1,12
tt0460464,8.3,15
tt0460471,5.4,15
tt0460472,6.3,11
tt0460474,6.5,9
tt0460475,7.2,264
tt0460476,8.2,49
tt0460480,6.9,1712
tt0460481,8.3,14
tt0460483,7.7,51
tt0460484,5.5,812
tt0460485,5.3,3520
tt0460486,6.4,19
tt0460488,7.7,128
tt0460489,5.7,50
tt0460490,7.0,8
tt0460491,8.4,45
tt0460492,6.6,1542
tt0460496,6.5,406
tt0460497,5.6,16
tt0460499,7.1,48
tt0460500,3.9,17
tt0460505,7.6,5370
tt0460508,5.8,26
tt0460511,6.6,13
tt0460512,2.6,8
tt0460513,7.1,14
tt0460515,5.1,90
tt0460516,6.7,70
tt0460517,8.6,8
tt0460520,6.8,15
tt0460521,6.8,12
tt0460522,7.6,105
tt0460524,8.1,242
tt0460525,7.1,20
tt0460526,5.6,6
tt0460527,8.4,22
tt0460528,8.0,47
tt0460529,6.8,14
tt0460530,6.5,13
tt0460531,6.9,100
tt0460532,6.0,250
tt0460535,8.3,15
tt0460536,8.1,17
tt0460537,5.6,13
tt0460538,9.1,12
tt0460540,5.6,28
tt0460541,7.1,840
tt0460542,6.6,409
tt0460544,9.2,9
tt0460546,8.5,9
tt0460547,6.8,86
tt0460548,6.1,10
tt0460551,8.0,10
tt0460552,8.9,13
tt0460553,8.5,15
tt0460554,8.5,21
tt0460555,3.1,25
tt0460556,3.1,212
tt0460557,5.3,677
tt0460559,4.7,249
tt0460561,5.8,19
tt0460562,7.7,30
tt0460565,6.2,26
tt0460566,6.7,100
tt0460567,2.6,84
tt0460568,7.2,47
tt0460571,5.7,25
tt0460572,8.7,23
tt0460573,8.7,8
tt0460574,7.1,11
tt0460579,8.2,20
tt0460581,6.0,503
tt0460585,6.2,275
tt0460586,8.7,12
tt0460587,8.1,132
tt0460589,6.9,59
tt0460591,6.9,51
tt0460592,4.5,288
tt0460595,6.7,30
tt0460598,7.6,485
tt0460599,7.6,42
tt0460600,6.6,10
tt0460601,9.1,16
tt0460603,8.7,9
tt0460605,8.1,13
tt0460607,7.6,8
tt0460609,5.0,99
tt0460611,6.2,481
tt0460612,6.8,22
tt0460613,4.5,8
tt0460614,6.7,8
tt0460616,7.2,674
tt0460619,7.8,10654
tt0460620,7.6,14
tt0460621,5.6,1589
tt0460622,6.2,318
tt0460624,6.8,1230
tt0460625,6.1,1368
tt0460626,6.8,502
tt0460627,7.8,169401
tt0460628,2.4,762
tt0460630,2.5,147
tt0460631,6.6,1441
tt0460634,6.2,192
tt0460636,4.8,214
tt0460637,7.5,40413
tt0460638,7.2,163
tt0460639,2.8,21
tt0460640,6.1,1392
tt0460641,6.8,117
tt0460642,5.4,97
tt0460643,7.1,625
tt0460644,6.4,48437
tt0460645,5.6,125
tt0460648,6.0,291
tt0460649,8.3,709046
tt0460650,7.4,585
tt0460651,7.5,12789
tt0460653,7.2,213
tt0460654,8.0,4943
tt0460655,7.3,1998
tt0460656,4.5,338
tt0460657,5.2,47
tt0460658,6.0,8
tt0460659,6.5,40
tt0460660,3.4,41
tt0460662,8.2,31
tt0460663,5.9,22
tt0460664,8.0,147
tt0460665,6.3,1549
tt0460666,7.5,1278
tt0460667,6.5,84
tt0460668,6.2,50
tt0460669,6.8,937
tt0460670,7.4,89
tt0460671,7.6,867
tt0460672,7.7,1260
tt0460673,7.1,229
tt0460674,5.3,163
tt0460675,9.1,14
tt0460676,8.4,529
tt0460677,5.7,243
tt0460681,8.4,465481
tt0460683,7.5,16
tt0460684,6.4,23
tt0460685,7.6,46
tt0460686,7.2,5799
tt0460687,8.2,22
tt0460688,6.0,293
tt0460690,8.1,22664
tt0460692,7.5,9139
tt0460693,7.1,3723
tt0460694,6.0,20
tt0460696,5.9,34
tt0460697,7.0,23
tt0460698,7.8,127
tt0460699,7.6,139
tt0460700,6.5,147
tt0460701,7.5,129
tt0460703,2.7,475
tt0460707,9.0,14
tt0460710,5.2,30
tt0460713,5.7,9
tt0460721,6.3,1527
tt0460722,5.9,21
tt0460723,8.1,10
tt0460724,7.4,174
tt0460729,6.5,72
tt0460732,5.4,2774
tt0460734,7.5,19
tt0460737,8.0,45
tt0460740,7.1,89448
tt0460741,8.6,57
tt0460742,3.6,1564
tt0460745,6.6,33199
tt0460746,7.1,107
tt0460747,6.4,76
tt0460748,9.3,9
tt0460749,4.2,680
tt0460750,7.7,38
tt0460752,3.2,21
tt0460756,6.4,185
tt0460760,5.1,284
tt0460761,6.0,26
tt0460763,6.8,14
tt0460766,7.8,3248
tt0460769,5.4,8
tt0460770,7.5,22
tt0460773,7.9,11
tt0460777,4.7,863
tt0460778,4.7,698
tt0460779,9.0,6
tt0460780,3.8,50409
tt0460783,7.2,8
tt0460787,5.6,8
tt0460788,7.3,11
tt0460789,6.2,128
tt0460791,7.8,114929
tt0460792,6.3,24741
tt0460793,6.7,1328
tt0460796,3.7,464
tt0460798,3.4,1959
tt0460800,3.2,815
tt0460801,6.8,13
tt0460802,5.5,16
tt0460805,8.3,14
tt0460806,7.3,643
tt0460808,4.4,834
tt0460809,8.2,25
tt0460810,6.4,14515
tt0460811,1.9,568
tt0460812,6.9,8110
tt0460822,6.6,25
tt0460823,5.4,213
tt0460824,2.5,35
tt0460829,6.8,60311
tt0460830,3.1,69
tt0460831,5.4,41
tt0460832,7.2,105
tt0460834,4.2,363
tt0460835,6.2,18
tt0460836,4.2,737
tt0460837,7.6,21
tt0460838,3.4,298
tt0460840,6.0,178
tt0460841,8.5,18
tt0460842,6.8,61
tt0460843,3.7,185
tt0460845,7.1,924
tt0460848,5.3,333
tt0460852,4.3,629
tt0460857,4.6,27
tt0460858,5.5,1634
tt0460870,4.9,26
tt0460871,6.7,233
tt0460873,6.0,373
tt0460875,8.1,13
tt0460876,7.3,25
tt0460878,3.7,86
tt0460883,4.5,3018
tt0460885,8.1,14
tt0460887,4.8,320
tt0460888,6.2,166
tt0460889,4.4,9
tt0460890,6.3,16287
tt0460892,6.0,393
tt0460894,7.1,9
tt0460897,5.7,1185
tt0460898,4.5,2492
tt0460899,6.4,30
tt0460900,8.9,77
tt0460902,4.3,1468
tt0460905,7.2,93
tt0460909,4.7,537
tt0460912,2.8,419
tt0460914,8.6,51
tt0460923,8.0,13
tt0460925,6.2,5065
tt0460926,4.1,126
tt0460936,8.6,19
tt0460938,5.3,20
tt0460943,4.1,128
tt0460946,6.3,1699
tt0460947,6.2,60
tt0460949,7.9,1959
tt0460950,6.3,28
tt0460951,6.9,43
tt0460952,3.2,1175
tt0460957,8.6,16
tt0460958,7.9,29
tt0460959,2.2,124
tt0460962,6.9,64
tt0460967,5.6,163
tt0460975,3.4,696
tt0460976,4.8,3665
tt0460980,7.7,20
tt0460982,6.9,15
tt0460984,7.8,21
tt0460985,4.3,43
tt0460989,7.5,52623
tt0460992,5.4,7
tt0460996,5.7,198
tt0460999,6.4,19
tt0461000,6.6,94
tt0461003,8.2,76
tt0461004,5.4,237
tt0461006,5.9,21
tt0461007,8.0,76
tt0461008,7.3,18
tt0461009,10.0,13
tt0461010,7.2,41
tt0461012,8.0,50
tt0461013,6.6,13
tt0461014,6.7,16
tt0461015,7.0,9
tt0461019,7.2,5
tt0461021,4.5,99
tt0461022,5.7,14
tt0461023,7.2,7
tt0461024,7.0,20
tt0461025,6.9,20
tt0461026,7.1,25
tt0461031,7.9,21
tt0461032,4.2,82
tt0461035,8.0,36
tt0461037,6.8,35
tt0461040,6.9,16
tt0461041,8.6,8
tt0461042,5.0,10
tt0461043,6.8,6
tt0461045,5.8,17
tt0461049,8.4,13
tt0461051,7.4,8
tt0461053,7.7,17
tt0461057,6.2,24
tt0461060,7.5,6
tt0461062,4.4,167
tt0461071,6.9,271
tt0461072,2.8,21
tt0461074,3.9,10
tt0461075,7.1,19
tt0461086,8.5,22
tt0461092,7.2,94
tt0461097,8.5,2319
tt0461103,7.5,322
tt0461104,9.2,142
tt0461108,6.4,44
tt0461109,8.2,62
tt0461110,7.9,418
tt0461116,3.3,6
tt0461117,8.0,14
tt0461120,6.5,89
tt0461122,7.3,17
tt0461125,5.6,19
tt0461126,5.0,134
tt0461128,6.9,67
tt0461131,4.8,39
tt0461135,5.3,31
tt0461141,6.2,7
tt0461143,7.8,28
tt0461146,8.0,11
tt0461147,6.5,100
tt0461150,6.8,47
tt0461157,6.1,50
tt0461160,6.6,20
tt0461165,6.0,11
tt0461168,4.3,15
tt0461169,7.3,449
tt0461172,7.3,16
tt0461173,6.0,12
tt0461179,6.4,280
tt0461180,6.6,18
tt0461183,6.8,6
tt0461187,6.2,63
tt0461188,5.5,14
tt0461193,6.3,26
tt0461200,4.8,20
tt0461201,7.6,12
tt0461206,7.6,10
tt0461208,7.3,25
tt0461209,5.8,657
tt0461212,5.5,17
tt0461213,6.7,89
tt0461215,6.6,6
tt0461218,4.2,8
tt0461224,5.7,59
tt0461230,5.0,24
tt0461243,9.4,11
tt0461246,7.5,20
tt0461247,6.9,13
tt0461248,3.5,19
tt0461250,7.6,11
tt0461251,6.3,33
tt0461254,7.3,46
tt0461256,8.2,217
tt0461257,6.3,147
tt0461258,7.3,123
tt0461259,6.4,25
tt0461260,6.3,17
tt0461266,6.9,17
tt0461268,7.1,58
tt0461271,6.6,10
tt0461273,6.2,45
tt0461274,7.0,111
tt0461276,5.2,7
tt0461279,7.3,27
tt0461280,6.5,18
tt0461287,6.3,25
tt0461288,7.7,9
tt0461296,7.8,406
tt0461302,9.4,13
tt0461304,5.8,30
tt0461310,8.2,7
tt0461317,7.5,7
tt0461320,8.0,7
tt0461323,3.4,954
tt0461327,7.5,15
tt0461329,5.5,11
tt0461331,5.4,240
tt0461335,7.3,33
tt0461336,5.9,1973
tt0461338,2.5,8
tt0461345,7.0,6
